<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20240215;000000;0.12586;0.12648;0.12464;0.12596;1079990000;0.00184;0.002430548;;;;;
20240216;000000;0.12586;0.12588;0.12344;0.1235;1126740000;0.00244;0.002117912;;;;;
20240219;000000;0.12348;0.12384;0.12104;0.12116;2509680000;0.0028;0.002082184;;;;;
20240220;000000;0.12108;0.12234;0.1172;0.1186;3406960000;0.00514;0.002236984;;;;;
20240221;000000;0.11954;0.12154;0.117;0.11892;3419520000;0.00454;0.003125558;;;;;
20240222;000000;0.119;0.12104;0.118;0.11912;1242720000;0.00304;0.003560846;;;;;
20240226;000000;0.1202;0.1218;0.12;0.12114;1040790000;0.0018;0.003589232;;;;;
20240227;000000;0.12092;0.1233;0.1195;0.1214;1848460000;0.0038;0.003253228;;;;;
20240228;000000;0.1215;0.1219;0.12024;0.12056;1002790000;0.00166;0.003591136;;;;;
20240229;000000;0.12064;0.12084;0.11928;0.12002;992360000;0.00156;0.002846218;;;;;
20240301;000000;0.12016;0.12244;0.11988;0.12172;1299920000;0.00256;0.002270888;;;;;
20240304;000000;0.12246;0.124;0.1221;0.1239;1529850000;0.0019;0.002258324;;;;;
20240305;000000;0.12406;0.12482;0.12202;0.12232;1215930000;0.0028;0.002263742;;;;;
20240306;000000;0.12226;0.1227;0.12162;0.12202;989070000;0.00108;0.002175924;;;;;
20240307;000000;0.12278;0.12304;0.1206;0.12156;1116710000;0.00244;0.001906072;;;;;
20240311;000000;0.1222;0.12226;0.11944;0.12036;1939790000;0.00282;0.00215268;;;;;
20240312;000000;0.12038;0.12048;0.11836;0.12006;1738900000;0.00212;0.002270374;;;;;
20240313;000000;0.12012;0.12148;0.12;0.12016;1993820000;0.00148;0.002274056;;;;;
20240314;000000;0.12094;0.12094;0.11886;0.11924;1184410000;0.00208;0.001938712;;;;;
20240315;000000;0.11924;0.1205;0.11914;0.1204;849270000;0.00136;0.002140812;;;;;
20240318;000000;0.1203;0.12174;0.1196;0.1208;1383550000;0.00214;0.001903096;;;;;
20240319;000000;0.12078;0.12228;0.1144;0.1187;3108910000;0.00788;0.00185669;;;;;
20240320;000000;0.11864;0.1202;0.1177;0.11922;1820690000;0.0025;0.003494976;;;;;
20240321;000000;0.11972;0.12078;0.11532;0.11692;3930230000;0.00546;0.003313234;;;;;
20240322;000000;0.1161;0.1172;0.11198;0.11338;3626350000;0.00522;0.004040422;;;;;
20240325;000000;0.11368;0.1144;0.11104;0.11302;3479990000;0.00336;0.004686502;;;;;
20240326;000000;0.11276;0.1158;0.11276;0.11548;2489950000;0.00304;0.004758308;;;;;
20240327;000000;0.11582;0.1168;0.1145;0.11672;1790560000;0.0023;0.003790744;;;;;
20240328;000000;0.11678;0.11688;0.1155;0.1161;1165310000;0.00138;0.00364975;;;;;
20240329;000000;0.1161;0.11878;0.1155;0.11736;2490090000;0.00328;0.002840074;;;;;
20240401;000000;0.118;0.12052;0.1179;0.12046;2322030000;0.00262;0.002681592;;;;;
20240402;000000;0.1205;0.12196;0.11962;0.12104;2340180000;0.00234;0.002558458;;;;;
20240403;000000;0.1212;0.1217;0.1192;0.1207;2061670000;0.0025;0.002406374;;;;;
20240404;000000;0.12072;0.12666;0.1194;0.12446;10111710000;0.00726;0.002421798;;;;;
20240405;000000;0.12456;0.126;0.1226;0.123;2863380000;0.0034;0.003963766;;;;;
20240408;000000;0.12398;0.1265;0.1235;0.12618;3006340000;0.003;0.003749032;;;;;
20240409;000000;0.1266;0.12686;0.12252;0.12364;2777300000;0.00434;0.003651148;;;;;
20240410;000000;0.12364;0.12416;0.1216;0.12294;1955490000;0.00256;0.004044338;;;;;
