<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240313;000000;1628.8;1755;1611.2;1753;2099896;143.8
20240314;000000;1760.6;1840;1721.4;1762;2869103;118.6
20240315;000000;1778.8;1832;1763;1810;1087347;69
20240318;000000;1829;1976;1818;1975;2218219;158
20240319;000000;2070;2074;1853.6;1956;2471749;220.4
20240320;000000;1975;1977.2;1855;1880;833756;122.2
20240321;000000;1892;1900;1805;1834.2;493655;95
20240322;000000;1800;1840;1730;1730.4;1295721;110
20240325;000000;1741.2;1819;1735;1784.8;890826;84
20240326;000000;1791.6;1799;1762.4;1776.4;261537;36.6
20240327;000000;1790;1950.2;1781;1950.2;2188106;169.2
20240328;000000;1982;2050;1921.2;1930;2203039;128.8
20240329;000000;1958.6;2014.6;1853;1870;1946358;161.6
20240401;000000;1891;1920;1795;1819.6;621786;125
20240402;000000;1823.6;1834.4;1771.2;1804.4;303612;63.2
20240403;000000;1820;1913;1812.6;1875;1060748;100.4
20240404;000000;1882.8;1893.2;1811;1846.8;385211;82.2
20240405;000000;1853;1924;1650;1788.4;1321903;274
20240408;000000;1797.2;1829;1735;1753.2;384543;94
20240409;000000;1755;1765;1673.4;1694;499542;91.6
20240410;000000;1699.8;1708.4;1622;1658.2;345658;86.4
20240411;000000;1658;1658;1595.2;1608.8;292200;62.8
20240412;000000;1608.8;1712;1586;1645.6;837212;126
20240415;000000;1640.2;1695;1612;1628.8;297691;83
20240416;000000;1630;1638.8;1586.6;1604.2;266883;52.2
20240417;000000;1607.6;1612.4;1532;1542;306717;80.4
20240418;000000;1544.4;1550.4;1482.2;1485.2;303047;68.2
20240419;000000;1485.4;1695;1484.6;1616;2554886;210.4
20240422;000000;1643;1728.2;1637.4;1685;1539159;90.8
20240423;000000;1689.8;1711.6;1620;1622;385561;91.6
20240424;000000;1627;1662.4;1575.2;1592;300464;87.2
20240425;000000;1621;1679.6;1610.2;1675.8;759656;69.4
20240426;000000;1682;1708;1638.4;1640;321582;69.6
20240427;000000;1658.8;1659.4;1600.4;1615;148868;59
20240429;000000;1624.6;1658.6;1595;1622;147025;63.6
20240430;000000;1627;1632.2;1581.6;1581.6;85914;50.6
20240502;000000;1585;1646.2;1552;1568;410550;94.2
20240503;000000;1578.4;1585.6;1511.6;1542.8;173636;74
20240506;000000;1550;1576.2;1512;1520;116073;64.2
20240507;000000;1530;1537.8;1474.8;1507.6;123403;63
20240508;000000;1509;1525;1480;1505.6;156801;45
20240510;000000;1510.8;1511.2;1485.4;1494;75884;25.8
20240513;000000;1522;1576.2;1506;1518;508197;70.2
20240514;000000;1527.8;1529.4;1495;1504.6;97195;34.4
20240515;000000;1511;1545;1491.8;1507.4;233120;53.2
20240516;000000;1509.2;1528.8;1498.2;1521.6;123881;30.6
20240517;000000;1531.6;1558;1511;1518;186313;47
20240520;000000;1517.2;1520.6;1480.4;1498;116103;40.2
20240521;000000;1500;1524.8;1455.2;1490;156909;69.6
20240522;000000;1490.4;1505;1474;1482;46516;31
20240523;000000;1484.4;1484.8;1420.4;1423.8;161161;64.4
20240524;000000;1424.4;1429;1331.4;1349.6;324215;97.6
20240527;000000;1369;1430;1334.4;1362.6;667160;95.6
20240528;000000;1395;1410;1366.2;1400;243470;43.8
20240529;000000;1405;1418;1355.2;1385.4;165463;62.8
20240530;000000;1383.4;1386.4;1353;1359.2;62404;33.4
20240531;000000;1358;1358;1268.4;1290;244189;89.6
20240603;000000;1327.6;1339;1204;1259.8;200363;135
20240604;000000;1284.2;1420;1244.6;1418.8;549027;175.4
20240605;000000;1425.8;1544;1420;1487;870935;124
20240606;000000;1480;1506.8;1436;1446;211737;70.8
20240607;000000;1451;1540;1447;1514;309368;93
20240610;000000;1535.2;1576.2;1517.8;1517.8;222816;58.4
20240611;000000;1514;1514;1400;1418;314775;114
20240613;000000;1301.4;1412;1234.6;1358;331972;177.4
20240614;000000;1377;1396.4;1317;1323;416479;79.4
20240617;000000;1316.6;1362;1295;1295;316616;67
20240618;000000;1305;1338.6;1251;1275;197936;87.6
20240619;000000;1268;1298.6;1190.4;1208;238539;108.2
20240620;000000;1219.2;1250;1160.4;1209;340867;89.6
20240621;000000;1216;1250;1195.6;1206;332976;54.4
20240624;000000;1213;1220;1148;1167.4;253818;72
20240625;000000;1161;1224.4;1120.8;1195.2;419561;103.6
20240626;000000;1204;1232;1200;1207.2;326237;32
20240627;000000;1210;1313;1186.6;1311.4;790325;126.4
20240628;000000;1310;1338;1273;1309;709119;65
20240701;000000;1320;1354;1315.2;1341.8;313014;38.8
20240702;000000;1343;1350;1312;1317.2;163777;38
20240703;000000;1317.2;1340;1306.2;1310.6;142638;33.8
20240704;000000;1306.6;1310.6;1241.8;1250;227376;68.8
20240705;000000;1245;1261.6;1193.2;1211;237571;68.4
