<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240126;000000;197.73;198.95;196.34;198.21;2182850;2.61
20240129;000000;198.61;209.9;198.4;204.91;27180550;11.5
20240130;000000;204.55;205.88;202.55;203.48;7496820;3.33
20240131;000000;204.02;204.09;201.02;202.82;4243980;3.07
20240201;000000;202.7;205.45;202.51;205;3394170;2.94
20240202;000000;205.07;205.46;201.54;202.1;4368270;3.92
20240205;000000;202.16;203.81;199.55;200.5;3784650;4.26
20240206;000000;200.3;201.74;199.55;200.95;2505470;2.19
20240207;000000;200.95;204;199.1;202.75;5280100;4.9
20240208;000000;202.96;203.39;197.56;198.17;7975190;5.83
20240209;000000;198.2;200.65;196.55;198.99;3870200;4.1
20240212;000000;199.39;200.09;197.44;199.01;3273560;2.65
20240213;000000;199.01;201.53;199.01;200.14;3983990;2.52
20240214;000000;200.13;200.9;198.06;198.46;2526600;2.84
20240215;000000;198.45;198.88;196.8;198.1;3179810;2.08
20240216;000000;198.1;199.1;195.05;195.97;5499900;4.05
20240219;000000;195.85;198.78;195.34;196.6;4152390;3.44
20240220;000000;196.93;196.94;188.12;189.2;5849050;8.82
20240221;000000;188.3;191.91;187.1;190.01;10983860;4.81
20240222;000000;189.25;191.8;183.5;190.9;18539750;8.3
20240226;000000;199.48;200;194.75;197.5;17435250;5.25
20240227;000000;198.01;201.97;196.12;199.36;9521350;5.85
20240228;000000;199.6;200.99;198.64;199.47;5740770;2.35
20240229;000000;199.77;201.39;198.02;199.59;6251950;3.37
20240301;000000;200.06;200.48;198.3;199.31;4928800;2.18
20240304;000000;200;201.9;199.32;200.97;6487080;2.58
20240305;000000;201.35;207.2;199.1;206.99;29732560;8.1
20240306;000000;207.2;207.48;204.64;205.6;9033010;2.84
20240307;000000;205.61;209;204.7;209;11271810;4.3
20240311;000000;209.8;211;207.24;208.79;7040990;3.76
20240312;000000;208.79;209.3;207.02;208.6;2895810;2.28
20240313;000000;208.67;209;207.75;208;3875650;1.25
20240314;000000;207.9;208.3;206.2;207.45;4104970;2.1
20240315;000000;207.44;211.5;206.8;210.75;7008410;4.7
20240318;000000;210.21;211.64;208.02;209.25;4273260;3.62
20240319;000000;209.01;210;207.5;208.41;5912870;2.5
20240320;000000;208.6;213.88;208.39;213.25;8126450;5.49
20240321;000000;214.04;215.9;212.02;212.85;6974120;3.88
20240322;000000;213.25;217;211.01;212.18;14539750;5.99
20240325;000000;212.85;215.87;211.23;213.97;6589190;4.64
20240326;000000;214.58;215.5;213.5;215.33;5426190;2
20240327;000000;215.4;220.5;215.09;219.99;7899210;5.41
20240328;000000;220.02;222.8;217;218.54;7430070;5.8
20240329;000000;218.53;222.89;217.65;222.72;4593560;5.24
20240401;000000;223.01;225;222.81;225;4989630;2.19
20240402;000000;225.02;229.9;224;229.78;6240840;5.9
20240403;000000;229.8;230;228.4;229.17;4249810;1.6
20240404;000000;229.59;229.64;226.58;226.7;4530300;3.06
20240405;000000;226.85;232;226.8;230.71;5933110;5.2
20240408;000000;231.59;234;229.21;230.4;8361580;4.79
20240409;000000;230.72;233.18;227.8;230.5;4240370;5.38
20240410;000000;230.8;230.8;228.22;228.92;3862550;2.58
20240411;000000;229.43;229.77;225.58;226.94;5502250;4.19
20240412;000000;227.4;231.73;226.49;230.33;5766140;5.24
20240415;000000;230.45;231.94;228.9;230.11;4108750;3.04
20240416;000000;230.08;230.08;227.2;228.96;3441330;2.88
20240417;000000;228.96;229.44;227.71;228.76;2345140;1.73
20240418;000000;228.76;229.9;226.21;228.46;5722190;3.69
20240419;000000;228.27;228.81;227.25;227.94;2707360;1.56
20240422;000000;228.35;229;226.51;227.47;3050700;2.49
20240423;000000;227.87;228.25;224;225.18;4774810;4.25
20240424;000000;225.2;225.5;224.1;224.83;3640850;1.4
20240425;000000;225.19;227.89;224.39;227.31;5205600;3.5
20240426;000000;227.77;233.89;227.43;230;7303870;6.46
20240427;000000;230.1;233.73;229.76;232.09;5699310;3.97
20240429;000000;232.29;236.52;232.29;234.99;5347450;4.23
20240430;000000;235.06;236.4;232.18;236.2;2689760;4.22
20240502;000000;236.84;237.66;234.12;235.07;4240250;3.54
20240503;000000;235.01;236.13;233.65;235.21;2854350;2.48
20240506;000000;234.99;235.18;228;229.36;8757080;7.18
20240507;000000;228.98;232.84;228;232.73;4448080;4.84
20240508;000000;233;233;229.75;230.91;3775900;3.25
20240510;000000;230.91;233.44;230.64;233.18;3807400;2.8
20240513;000000;232;232.47;230.3;231.72;5425330;2.17
20240514;000000;231.68;233.39;231.26;232.55;3002640;2.13
20240515;000000;233.02;234.81;230.7;232.7;4616130;4.11
20240516;000000;233.19;238.4;232.14;236.59;5359670;6.26
20240517;000000;236.59;239.88;235.9;237.95;4700290;3.98
20240520;000000;238.41;241.5;234.73;236.51;6703060;6.77
20240521;000000;236.51;239.2;235;238.06;3715980;4.2
20240522;000000;238.26;239.87;236.33;237.53;3163330;3.54
20240523;000000;237.24;238.29;234.1;237;4423920;4.19
20240524;000000;237.19;237.5;234.85;237;3650750;2.65
20240527;000000;237.09;238.23;235;236.93;3832350;3.23
20240528;000000;237.69;240.9;231.79;239.69;7047520;9.11
20240529;000000;240.51;246.46;240.26;245.6;7445620;6.2
20240530;000000;245.56;247.5;242.01;244.14;5889670;5.49
20240531;000000;244.2;247.25;232.59;239.66;8086150;14.66
20240603;000000;239.98;244.98;234.2;239.67;9559350;10.78
20240604;000000;240.25;250;238.22;249.54;10708460;11.78
20240605;000000;249.55;251.45;246;248.99;6314810;5.45
20240606;000000;249.52;251.84;247.15;249.19;4138040;4.69
20240607;000000;249.78;252.68;247;248.37;6866200;5.68
20240610;000000;249.15;250;245.01;247.41;3714240;4.99
20240611;000000;247.42;252.32;245.68;251.94;6501350;6.64
