<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240208;000000;17.79;18.94;17.78;18.06;263228300;1.16
20240209;000000;18.295;18.295;17.07;17.355;113236300;1.225
20240212;000000;17.4;17.48;16.855;17.21;55447300;0.625
20240213;000000;17.255;17.97;17.22;17.8;87888200;0.75
20240214;000000;17.88;17.955;17.445;17.54;31733100;0.51
20240215;000000;17.59;17.76;17.2;17.51;38991800;0.56
20240216;000000;17.555;17.875;17.285;17.48;72527100;0.59
20240219;000000;18.575;18.86;17.8;18.85;217464400;1.06
20240220;000000;18.865;19.15;17.67;18.25;138197700;1.48
20240221;000000;18.2;18.45;17.7;18.19;84389000;0.75
20240222;000000;18.2;18.35;18.005;18.17;39718900;0.345
20240226;000000;18.31;18.78;18.27;18.645;51965400;0.51
20240227;000000;18.76;18.76;18.25;18.475;32978900;0.51
20240228;000000;18.525;18.525;18.07;18.285;28085800;0.455
20240229;000000;18.32;18.58;18.225;18.475;38713700;0.355
20240301;000000;18.5;19.3;18.5;19.28;158613700;0.8
20240304;000000;19.385;19.48;18.92;19.17;95323400;0.56
20240305;000000;19.19;19.33;18.92;19.28;33885100;0.41
20240306;000000;19.345;19.695;19.155;19.565;73978900;0.54
20240307;000000;19.62;19.815;19.5;19.59;56402300;0.315
20240311;000000;19.695;19.77;18.58;19.4;49075400;1.19
20240312;000000;19.415;19.425;18.6;19.215;45384300;0.825
20240313;000000;19.275;19.44;19.1;19.175;28295200;0.34
20240314;000000;19.21;19.225;18.66;19.03;45607600;0.565
20240315;000000;19.205;19.295;18.86;18.97;35358200;0.435
20240318;000000;19.04;19.47;18.65;19.32;55834400;0.82
20240319;000000;19.3;19.44;18.8;19.06;38793100;0.64
20240320;000000;19.12;19.165;18.735;18.865;24684700;0.43
20240321;000000;18.9;19.115;18.815;19.1;17535900;0.3
20240322;000000;19.14;19.225;18.45;18.79;38643200;0.775
20240325;000000;18.77;19;18.655;18.905;21316300;0.345
20240326;000000;18.91;19.175;18.88;19.03;17288500;0.295
20240327;000000;19.055;19.085;18.77;18.94;12163400;0.315
20240328;000000;18.975;18.98;18.81;18.955;13020200;0.17
20240329;000000;18.97;19.445;18.97;19.35;47862500;0.475
20240401;000000;19.335;20;19.335;19.905;85965500;0.665
20240402;000000;19.92;19.95;19.58;19.76;28622900;0.37
20240403;000000;19.785;20.3;19.71;20.255;96848100;0.59
20240404;000000;20.26;20.26;19.955;20.05;25811600;0.305
20240405;000000;20.025;20.17;19.815;19.98;19248300;0.355
20240408;000000;20;20.05;19.86;20.01;16644000;0.19
20240409;000000;20.01;20.01;19.505;19.685;31818100;0.505
20240410;000000;19.715;19.95;19.42;19.545;26100500;0.53
20240411;000000;19.59;19.68;19.21;19.285;20242800;0.47
20240412;000000;19.28;19.445;19.16;19.23;20017800;0.285
20240415;000000;19.3;19.615;19.25;19.41;21874900;0.365
20240416;000000;19.46;19.49;19.225;19.27;10438200;0.265
20240417;000000;19.34;19.35;19.1;19.145;10955000;0.25
20240418;000000;19.135;19.15;18.86;19.08;16482800;0.29
20240419;000000;19.095;19.19;18.94;19.165;10590700;0.25
20240422;000000;19.185;19.4;19.035;19.125;16894300;0.365
20240423;000000;19.19;19.25;18.92;18.985;13217400;0.33
20240424;000000;18.985;19.115;18.84;19.035;11463600;0.275
20240425;000000;19.045;19.145;18.92;19.07;10159100;0.225
20240426;000000;19.07;19.19;19;19.075;12858800;0.19
20240427;000000;19.085;19.25;19.045;19.14;11594900;0.205
20240429;000000;19.155;19.175;19.015;19.15;5663800;0.16
20240430;000000;19.18;19.18;19.02;19.05;5236100;0.16
20240502;000000;19.03;19.065;18.875;18.935;6818500;0.19
20240503;000000;19;19;18.035;18.61;79368700;0.965
20240506;000000;18.515;18.545;18.225;18.265;22216300;0.32
20240507;000000;18.275;18.89;18.22;18.65;27617300;0.67
20240508;000000;18.79;19.29;18.55;19.24;30717300;0.74
20240510;000000;19.235;19.71;19.195;19.695;27135200;0.515
20240513;000000;19.9;20.245;19.875;20.2;52098700;0.37
20240514;000000;20.34;20.495;19.715;19.8;63339600;0.78
20240515;000000;19.79;19.965;19.4;19.82;49575700;0.565
20240516;000000;19.38;19.65;18.8;19.36;125128600;0.85
20240517;000000;19.365;19.445;19.005;19.24;19778000;0.44
20240520;000000;19.295;19.3;18.58;18.825;40540700;0.72
20240521;000000;18.87;19.2;18.8;18.975;14960800;0.4
20240522;000000;18.985;19.085;18.725;18.85;11252600;0.36
20240523;000000;18.995;18.995;18.49;18.74;19421200;0.505
20240524;000000;18.72;18.78;18.095;18.22;30296900;0.685
20240527;000000;18.22;18.375;17.65;17.935;36120100;0.725
20240528;000000;17.995;18.3;17.725;17.975;19103300;0.575
20240529;000000;18.03;18.105;17.565;18.065;27442800;0.54
20240530;000000;18.1;18.11;17.31;17.42;20717900;0.8
20240531;000000;17.425;17.695;16.565;17.06;46453300;1.13
20240603;000000;17.07;17.575;16.595;17.55;46789400;0.98
20240604;000000;17.6;18.4;17.345;18.305;38346500;1.055
20240605;000000;18.36;18.62;17.785;17.85;38283900;0.835
20240606;000000;17.85;18.04;17.52;17.76;15138600;0.52
20240607;000000;17.805;18.5;17.8;18.24;22189700;0.7
20240610;000000;18.225;18.48;17.9;18.055;19819000;0.58
20240611;000000;18.065;18.075;17.62;17.845;13617900;0.455
