<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240530;000000;4435;4459.5;4275;4285.5;320611;184.5
20240531;000000;4300;4322.5;4069;4154.5;1290911;253.5
20240603;000000;4190;4240;3957;4106.5;1106188;283
20240604;000000;4108;4419;4069;4401.5;1320121;350
20240605;000000;4434;4497.5;4323.5;4400;1173434;174
20240606;000000;4403;4475;4361;4408;511607;114
20240607;000000;4410;4698;4400;4631;1390146;298
20240610;000000;4650;4779.5;4468;4540;1401341;311.5
20240611;000000;4552.5;4645;4463;4556;987909;182
20240613;000000;4237;4546;4154.5;4500;893252;391.5
20240614;000000;4515.5;4533.5;4460;4509.5;314262;73.5
20240617;000000;4506.5;4564;4433.5;4455.5;279923;130.5
20240618;000000;4442;4456.5;4223;4235.5;586490;233.5
20240619;000000;4229.5;4334;3919.5;4064.5;1916060;414.5
20240620;000000;4079.5;4269.5;3990;4260;1479813;279.5
20240621;000000;4289.5;4395;4242.5;4349.5;758383;152.5
20240624;000000;4356;4410;4272;4291;491534;138
20240625;000000;4292.5;4329;4201;4328.5;490798;128
20240626;000000;4330.5;4370.5;4300;4319;290915;70.5
20240627;000000;4319.5;4330;4218;4271;430850;112
20240628;000000;4271.5;4333.5;4237.5;4308;257228;96
20240701;000000;4318.5;4327;4273;4305;241881;54
20240702;000000;4310;4318.5;4202;4225;361169;116.5
20240703;000000;4221;4221;4105;4125;728491;116
20240704;000000;4110;4143.5;4004.5;4017;509579;139
20240705;000000;4014;4107;3965;4090.5;636272;142
20240708;000000;4101;4135;3970.5;3999.5;547942;164.5
20240709;000000;3999;4007;3750;3778;917889;257
20240710;000000;3780;3842;3512.5;3514;1598832;329.5
20240711;000000;3528;3863;3527;3842;2436423;336
20240712;000000;3849;3877.5;3730;3841.5;1304776;147.5
20240715;000000;3847;3859.5;3627.5;3683;1134512;232
20240716;000000;3685;3898.5;3608.5;3887;1453129;290
20240717;000000;3898.5;3931;3810;3827;1254260;121
20240718;000000;3825;3914;3765;3900;869663;149
20240719;000000;3912.5;3972.5;3860;3941;746796;112.5
20240722;000000;3975;4018;3941.5;3976;570281;76.5
20240723;000000;3976;3985;3905.5;3920;380584;79.5
20240724;000000;3914;3998;3865;3987.5;500171;133
20240725;000000;3986.5;3998;3944;3985;254532;54
20240726;000000;3991;4094.5;3791;3828.5;1961467;303.5
20240729;000000;3798.5;3800;3671.5;3709;766560;128.5
20240730;000000;3704.5;3795;3682.5;3768;509894;112.5
20240731;000000;3771;3865;3755.5;3860;559292;109.5
20240801;000000;3861;3862.5;3733;3754;508288;129.5
20240802;000000;3751;3770;3685;3732.5;525708;85
20240805;000000;3645.5;3657.5;3559;3580;1161815;98.5
20240806;000000;3629.5;3670;3569.5;3639.5;526859;100.5
20240807;000000;3635.5;3723;3570;3694.5;775193;153
20240808;000000;3723;3725;3620;3639;532058;105
20240809;000000;3629.5;3685;3610;3663.5;293308;75
20240812;000000;3648.5;3668;3608.5;3655;316672;59.5
20240813;000000;3664.5;3697;3650;3666;264437;47
20240814;000000;3669.5;3686.5;3606;3615;235314;80.5
20240815;000000;3610;3620;3505;3519.5;576911;115
20240816;000000;3525.5;3539;3423;3445;541719;116
20240819;000000;3467;3470;3346;3399.5;1087824;124
20240820;000000;3397;3438;3337;3350;610747;101
20240821;000000;3349.5;3429;3261.5;3428;918692;167.5
20240822;000000;3423;3488.5;3292;3332;920471;196.5
20240823;000000;3331;3370;3221;3300;869107;149
20240826;000000;3394.5;3450;3326.5;3382.5;608971;123.5
20240827;000000;3387;3396;3270;3304.5;387743;126
20240828;000000;3299;3299;3150;3183;719419;149
20240829;000000;3193.5;3215;3102;3178;767483;113
20240830;000000;3182;3195.5;3010;3011;702895;185.5
20240902;000000;2975.5;2981;2825;2854.5;1406557;156
20240903;000000;2872.5;2962;2830;2918;1204519;132
20240904;000000;2921.5;3139;2880;3116.5;917910;259
20240905;000000;3149;3257;3070;3117;1262314;187
20240906;000000;3094;3170.5;3013.5;3150;1009849;157
20240909;000000;3192;3370;3163;3367;916746;207
20240910;000000;3359;3379;3225;3251;1089590;154
20240911;000000;3256;3278;3135.5;3157.5;876263;142.5
20240912;000000;3145;3158;3039;3120;1002517;119
20240913;000000;3111;3291.5;2960;3290;2283225;331.5
20240916;000000;3309.5;3374;3262;3342.5;992132;112
20240917;000000;3351;3425;3263;3405.5;950754;162
20240918;000000;3407.5;3431;3272.5;3290;1030320;158.5
20240919;000000;3295;3355;3245;3320;801762;110
20240920;000000;3320.5;3379;3315;3361;560292;64
20240923;000000;3374;3485;3361;3479;767555;124
20240924;000000;3497;3513;3408;3448.5;592715;105
20240925;000000;3448.5;3451;3330;3341;620728;121
20240926;000000;3333;3333.5;3230.5;3259.5;732410;103
20240927;000000;3274;3391.5;3252;3380;546264;139.5
20240930;000000;3388.5;3409;3282;3298;615893;127
20241001;000000;3292;3312.5;3223;3281;605038;89.5
20241002;000000;3290;3325;3163.5;3182;618952;161.5
20241003;000000;3178;3220;3105;3196;881279;115
20241004;000000;3197;3235;3172;3201.5;407112;63
20241007;000000;3202.5;3215;3145;3180;390623;70
20241008;000000;3172.5;3172.5;3108;3118;519189;64.5
20241009;000000;3112;3119.5;3015;3056.5;735880;104.5
20241010;000000;3057;3073.5;3015;3037.5;302017;58.5
20241011;000000;3039.5;3049;3002.5;3020;383063;46.5
20241014;000000;3009;3118.5;2981;3092.5;674530;137.5
20241015;000000;3080.5;3158.5;3067.5;3138;606102;91
20241016;000000;3145;3178.5;3079;3080.5;560237;99.5
20241017;000000;3075;3088;3034;3054;493726;54
20241018;000000;3048.5;3085;3044;3076;305446;41
20241021;000000;3081;3093;3025;3031;323148;68
20241022;000000;3023;3040;3007;3029.5;312819;33
20241023;000000;3029;3045;2979;2980.5;508578;66
20241024;000000;2978.5;3034;2955;3015;483418;79
20241025;000000;3014;3042;2871.5;2873;1262221;170.5
20241028;000000;2808;2845;2720;2747.5;837370;125
20241029;000000;2756.5;2783.5;2677.5;2760.5;832558;106
20241030;000000;2773;2789;2682;2686;589228;107
20241031;000000;2671;2679;2611.5;2659.5;693035;67.5
20241101;000000;2656.5;2700;2628.5;2675.5;517041;71.5
20241102;000000;2678;2689.5;2645;2668.5;173760;44.5
20241105;000000;2690;2730;2683;2729;370376;47
20241106;000000;2805.5;2957;2804.5;2892;3152654;152.5
20241107;000000;2890;3052;2864.5;3048.5;1927456;187.5
20241108;000000;3049;3295;3000.5;3288;2875047;294.5
20241111;000000;3306;3354.5;3184;3244.5;2620978;170.5
20241112;000000;3221;3244;3178;3206;1028814;66
20241113;000000;3190;3365.5;3175;3268.5;2405084;190.5
20241114;000000;3262.5;3328;3246;3307.5;1433981;82
20241115;000000;3313;3468.5;3292.5;3458.5;1662917;176
20241118;000000;3310.5;3426.5;3283;3342;2008573;143.5
20241119;000000;3351.5;3367;3211;3242.5;1927862;156
20241120;000000;3252;3278;3105.5;3147;1800720;172.5
20241121;000000;3139.5;3157;2951.5;3107.5;2789082;205.5
20241122;000000;3116.5;3124.5;3055;3077.5;1159130;69.5
20241125;000000;3064;3072.5;2713.5;2801.5;3335987;359
20241126;000000;2790.5;2793.5;2612;2739;2869742;181.5
20241127;000000;2742;2995;2647;2968.5;4900635;348
20241128;000000;2973;3048;2865;2953;2413854;183
20241129;000000;2920;3004;2892;2934;1036179;112
20241202;000000;2935;2993.5;2843.5;2871.5;1029198;150
20241203;000000;2869;2874.5;2786;2795.5;556266;88.5
