<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240424;000000;228.26;230.4;226.06;228.86;5514570;4.34
20240425;000000;228.92;229.74;227.62;228.7;3750050;2.12
20240426;000000;229.3;232.32;228.8;232.02;6809890;3.52
20240427;000000;232.1;233.46;232;232.9;5439210;1.46
20240429;000000;233.14;239.9;233.1;239.12;5453420;6.8
20240430;000000;239.6;243.2;238.88;241.74;5972510;4.32
20240502;000000;242.12;244.24;238.44;242;7118870;5.8
20240503;000000;242.02;243.54;240.56;242.16;4005740;2.98
20240506;000000;242.2;243.8;239.9;239.98;4774060;3.9
20240507;000000;240.34;246.16;240.22;245.96;6924340;5.94
20240508;000000;246.54;248.8;246.22;248.26;6445580;2.58
20240510;000000;249;251;248.4;250.98;4888900;2.6
20240513;000000;252.08;255.5;251.6;252.3;8459100;3.9
20240514;000000;252.84;253.94;251.64;252.14;6024930;2.3
20240515;000000;252.14;253.32;249.12;252.9;8666440;4.2
20240516;000000;253.38;254;250.5;251.98;5170890;3.5
20240517;000000;252.18;252.7;251.1;252;3950170;1.6
20240520;000000;252.68;253.16;250;250.7;6518300;3.16
20240521;000000;251.1;253.3;250.2;252.8;8454480;3.1
20240522;000000;253.1;254.4;251.9;254.16;7878440;2.5
20240523;000000;254.26;256.46;253.62;256.3;14060690;2.84
20240524;000000;256.32;256.92;251.1;255.44;17992690;5.82
20240527;000000;230.12;232.98;216.06;219.22;39051260;16.92
20240528;000000;218.8;222.5;210.62;211.08;19485100;11.88
20240529;000000;211.3;214.48;206.3;214.16;17834030;8.18
20240530;000000;214.9;216.3;205;205.52;9073120;11.3
20240531;000000;205;206.74;192.28;195.96;24226710;14.46
20240603;000000;194.9;197.5;183.26;193.56;27893400;14.24
20240604;000000;194.86;196.98;191.22;191.54;12169320;5.76
20240605;000000;191.9;199.1;191.5;192.52;15377720;7.6
20240606;000000;192.68;195.68;192.08;192.62;6709820;3.6
20240607;000000;192.76;198.5;192.44;196.46;8929110;6.06
20240610;000000;198.94;199.04;188.2;190.54;12523380;10.84
20240611;000000;190.04;190.82;185.08;187.2;13442390;5.74
20240613;000000;178.02;192.74;177.48;189.12;11995200;15.26
20240614;000000;189;193.48;186.12;191.42;9688010;7.36
20240617;000000;191.92;193.48;187.72;188.5;5112030;5.76
20240618;000000;189;190.8;180.3;181.66;8406950;10.5
20240619;000000;181.76;181.9;172.68;175.62;16840380;9.22
20240620;000000;175.5;181.36;170.7;180.94;24253210;10.66
20240621;000000;181.02;182.26;177.52;177.78;6172040;4.74
20240624;000000;176.72;178.5;173.88;174.32;6965090;4.62
20240625;000000;174.3;183.14;172;180.98;8575390;11.14
20240626;000000;180.98;181;175.3;177.78;13063590;5.7
20240627;000000;177.62;178.56;175.1;176.82;8070400;3.46
20240628;000000;177.1;179.3;176.48;176.92;5567450;2.82
20240701;000000;177.1;181;175.1;181;10287170;5.9
20240702;000000;181.12;181.52;178.68;179.8;6836010;2.84
20240703;000000;179.94;180;176.2;176.3;5050460;3.8
20240704;000000;176.6;178.64;172.58;173.86;8395840;6.06
20240705;000000;173.88;175.4;171.52;174.38;6672790;3.88
20240708;000000;174.74;177.52;173.24;174.52;7156070;4.28
20240709;000000;174.5;175.2;167.16;167.16;9365720;8.04
20240710;000000;167.16;167.94;159.62;159.8;13722250;8.32
20240711;000000;159.7;170.66;159.34;169.36;12973290;11.32
20240712;000000;169.74;170.9;165.72;169.82;7180250;5.18
20240715;000000;169.18;170.38;162.2;163.02;8689290;8.18
20240716;000000;162.7;165.4;159.4;164.66;13670780;6
20240717;000000;165.02;167.86;162.44;163.66;9700850;5.42
20240718;000000;163.46;168.14;162.24;166.74;13338010;5.9
20240719;000000;167.4;172.6;165.58;169.96;15015660;7.02
20240722;000000;172.56;173.42;168.18;170.04;12276510;5.24
20240723;000000;170;170.66;167.3;169.06;4659280;3.36
20240724;000000;169.36;173.14;167.5;170.92;8964990;5.64
20240725;000000;171.74;174.8;170.28;172.98;10068020;4.52
20240726;000000;173.18;176.92;165.02;169.9;22157970;11.9
20240729;000000;168.7;170.2;162.82;163.02;9059080;7.38
20240730;000000;162.9;167.88;161.56;165.94;9188680;6.32
20240731;000000;165.98;167;163.24;165.9;4806810;3.76
20240801;000000;165.88;167.68;164.2;164.42;3103910;3.48
20240802;000000;164.42;166.98;163.8;165.82;4233430;3.18
20240805;000000;163.2;163.98;158;158.06;9972890;5.98
20240806;000000;159.58;162.98;158.22;160.42;11632600;4.76
20240807;000000;160.42;162.8;157.5;161.72;8972280;5.3
20240808;000000;162.14;163.3;159.02;160.04;5450200;4.28
20240809;000000;159.5;162.4;159.28;160.14;4497870;3.12
20240812;000000;160.16;162.88;157.86;162.52;8928700;5.02
20240813;000000;162.72;165.5;162.7;165.36;7570230;2.8
20240814;000000;165.44;166.1;162.5;162.9;4424040;3.6
20240815;000000;163.12;164.92;161.68;161.9;4433760;3.24
20240816;000000;161.8;163.26;161;162.06;4482060;2.26
20240819;000000;161.72;162.6;156.32;158.1;5952580;6.28
20240820;000000;158.3;159.12;155.2;155.62;9182880;3.92
20240821;000000;155.36;156.82;151.64;152.5;9824900;5.18
20240822;000000;153;153.02;141.8;143.94;15199840;11.22
20240823;000000;143.82;144.9;138.04;140.74;20575200;6.86
20240826;000000;144.7;148.68;142.24;147.26;9038470;6.44
20240827;000000;147.9;149;142.52;142.8;8128880;6.48
20240828;000000;142.56;142.56;136.34;140.62;10282800;6.22
20240829;000000;141;141.94;137.36;140.4;8443570;4.58
20240830;000000;140.46;141.68;132.26;132.74;10193440;9.42
20240902;000000;132.26;133.66;123.82;127.66;18177130;9.84
20240903;000000;127.02;131.26;125.1;127.78;17070800;6.16
20240904;000000;127.7;133.4;127.22;132.7;9701320;6.18
20240905;000000;133.16;142.64;132;139.4;33569920;10.64
20240906;000000;139.26;140.36;136.36;139.88;13243430;4
20240909;000000;141;148.2;140.7;147.9;17179790;7.5
20240910;000000;147.52;147.68;144.64;146.62;11888710;3.04
20240911;000000;146.84;147.98;143.04;143.44;8680810;4.94
20240912;000000;143.08;143.96;139.5;140.7;11394190;4.46
20240913;000000;140.4;147.5;134.7;147.38;22837800;12.8
20240916;000000;148.06;153.9;147.3;151.82;24622430;6.6
20240917;000000;152.14;157.48;150.2;156.24;15784870;7.28
20240918;000000;156.26;156.5;151.2;151.74;13722440;5.3
20240919;000000;151.8;153.5;149.42;150;12247390;4.08
20240920;000000;149.98;153.4;147.68;148.46;19292610;5.72
20240923;000000;149.24;151.3;147.84;150.04;14225460;3.46
20240924;000000;150.44;150.68;146.42;147.98;16687480;4.26
20240925;000000;148.2;148.9;143;144.06;13611810;5.9
20240926;000000;143.46;146;140.4;142.48;14441770;5.6
20240927;000000;142.74;145.32;140.6;144.94;10699420;4.72
20240930;000000;145.82;147.22;141.36;141.88;13439410;5.86
20241001;000000;141.8;142.96;140.52;141.8;8319690;2.44
20241002;000000;141.88;143.3;137.42;138.7;12211870;5.88
20241003;000000;138.64;139.86;135.2;138.28;12959070;4.66
20241004;000000;138.38;140.1;136.78;137.26;9242460;3.32
20241007;000000;137.32;138;134.62;135.6;8574120;3.38
20241008;000000;134.9;136.1;133.72;135.86;7950850;2.38
20241009;000000;136.04;137.4;131.44;134.28;8946720;5.96
20241010;000000;134.04;135.4;133.56;134.58;6630480;1.84
