<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240322;000000;41.11;41.2;39.57;39.73;16021150;1.63
20240325;000000;39.92;40.64;39.86;40.43;12044410;0.78
20240326;000000;40.57;40.77;40.19;40.58;7367910;0.58
20240327;000000;40.59;41.86;40.58;41.81;18790860;1.28
20240328;000000;41.92;43.35;41.64;42.93;35283810;1.71
20240329;000000;42.96;45.88;42.71;45.48;97849010;3.17
20240401;000000;45.77;49.16;45.04;48.63;115845070;4.12
20240402;000000;48.66;48.94;47.15;48.2;82982020;1.79
20240403;000000;48.2;51.39;48;50;107713960;3.39
20240404;000000;50.05;51.3;48.32;48.43;78953000;2.98
20240405;000000;48.43;49.76;48.12;49.36;41442420;1.64
20240408;000000;49.63;50.81;49.45;50.03;43096190;1.36
20240409;000000;50.19;50.32;49;49.3;24501500;1.32
20240410;000000;49.49;51.15;49.12;51.01;48852170;2.03
20240411;000000;51.23;52.29;50.21;50.92;90547420;2.08
20240412;000000;51;51.17;49.85;50.47;32909400;1.32
20240415;000000;50.3;50.82;49.02;49.89;36029160;1.8
20240416;000000;49.87;50.31;49.13;49.57;22222140;1.18
20240417;000000;49.54;49.88;48.63;49.16;25260700;1.25
20240418;000000;49.31;49.55;48.4;48.66;14143130;1.15
20240419;000000;48.66;49.76;48.6;49.61;22271500;1.16
20240422;000000;49.74;50.59;49.6;50.28;22080820;0.99
20240423;000000;50.24;50.53;49.5;49.62;16630680;1.03
20240424;000000;49.7;50.39;49.05;49.73;16752550;1.34
20240425;000000;49.88;50.19;49.35;50.09;12158240;0.84
20240426;000000;50;52.34;49.94;52.2;50975550;2.4
20240427;000000;52.19;52.48;51.2;51.46;34228370;1.28
20240429;000000;51.39;52.15;51.07;51.96;10637960;1.08
20240430;000000;52.09;52.18;51.25;51.59;5863430;0.93
20240502;000000;51.31;51.31;50.18;50.66;16144900;1.13
20240503;000000;50.6;50.67;49.68;50.25;16294350;0.99
20240506;000000;50.25;50.8;49.56;49.68;13824490;1.24
20240507;000000;49.78;49.85;49.2;49.57;9564260;0.65
20240508;000000;49.65;50.68;49.53;50.23;11607740;1.15
20240510;000000;50.27;51;50.27;50.85;9145530;0.73
20240513;000000;51.18;52.37;51.05;52.11;22440300;1.32
20240514;000000;52.19;54.36;51.71;54.19;59975530;2.65
20240515;000000;54.29;56.96;54.05;56.75;86628750;2.91
20240516;000000;56.91;57.1;55.04;55.92;61912110;2.06
20240517;000000;55.82;58.48;55.21;58;62560750;3.27
20240520;000000;58.02;59.43;57.26;58.17;67368770;2.17
20240521;000000;58.07;59.44;56.74;58.94;53474360;2.7
20240522;000000;59.2;59.59;57.6;58.01;28789520;1.99
20240523;000000;58.01;58.65;57.09;57.71;25371940;1.56
20240524;000000;57.81;58.5;56.88;58.13;32658650;1.62
20240527;000000;58;58.85;54.53;55.08;65247490;4.32
20240528;000000;55.05;56.45;53.9;55.82;36004130;2.55
20240529;000000;56;56.85;54.48;56.4;26074350;2.37
20240530;000000;56.94;57.7;55.41;56.22;43481990;2.29
20240531;000000;56.15;56.47;54.3;55.23;25721520;2.17
20240603;000000;55;55.33;51.64;53.68;52297700;3.69
20240604;000000;53.8;57.09;52.99;57;35833590;4.1
20240605;000000;57;58.47;56.16;56.7;40202940;2.31
20240606;000000;56.7;57.35;55.8;56.39;16035070;1.55
20240607;000000;56.4;59.26;56.26;58.51;30426410;3
20240610;000000;58.83;59.73;56.94;57.8;32492940;2.79
20240611;000000;57.8;59.24;56.74;58.94;31395590;2.5
20240613;000000;55.91;59.43;55;59.32;28799010;4.43
20240614;000000;59.8;62.84;59.52;62.82;92411610;3.32
20240617;000000;62.89;63.72;61.43;61.96;66320530;2.29
20240618;000000;61.83;63.46;60.91;61.6;65754160;2.55
20240619;000000;61.68;62.55;60.05;62.03;48744100;2.5
20240620;000000;62.12;64.75;60.95;64.4;72446770;3.8
20240621;000000;64.69;64.75;63.3;63.97;28401740;1.45
20240624;000000;63.99;64.36;62.87;63.32;20400890;1.49
20240625;000000;63.2;63.54;62.1;62.45;19679730;1.44
20240626;000000;62.68;64.42;62.65;64.2;25705290;1.77
20240627;000000;64.36;64.44;63;63.07;20748380;1.44
20240628;000000;63.1;63.5;62.42;62.72;11254550;1.08
20240701;000000;62.75;62.79;60.95;61.2;25304780;1.84
20240702;000000;61.14;62.3;60.13;61.21;30117260;2.17
20240703;000000;61.38;62.1;60.3;60.91;15820230;1.8
20240704;000000;60.65;61;58.85;59.04;25581310;2.15
20240705;000000;58.88;59.6;57.54;58.45;30078070;2.06
20240708;000000;58.21;58.38;56.21;56.45;26260420;2.17
20240709;000000;56.35;56.82;52.9;53.78;58665320;3.92
20240710;000000;53.7;55.13;52.1;52.33;56524990;3.03
20240711;000000;52.48;56.73;52.43;56.73;54618590;4.3
20240712;000000;56.66;56.97;54.61;55.4;39130310;2.36
20240715;000000;55.6;55.87;53.4;54.18;28534690;2.47
20240716;000000;54.11;55.2;52.71;55.11;33864270;2.49
20240717;000000;55.14;55.87;53.91;54.51;22013460;1.96
20240718;000000;54.54;56.57;54.03;56.28;23887640;2.54
20240719;000000;56.43;56.94;55.53;56.29;23758990;1.41
20240722;000000;56.76;58.3;56.61;58.17;36761130;1.69
20240723;000000;58.2;58.5;56.7;57.12;21281690;1.8
20240724;000000;57.12;58.02;56.7;57.46;16108730;1.32
20240725;000000;57.46;58.87;57.1;58.06;17092770;1.77
20240726;000000;58.1;58.73;55;55.47;42559840;3.73
20240729;000000;55.19;55.19;51.82;51.99;72617300;3.37
20240730;000000;51.97;54.31;50.9;53.98;92654890;3.41
20240731;000000;54.13;55.2;53.01;55;45194910;2.19
20240801;000000;55.02;55.66;53.55;53.72;30266200;2.11
20240802;000000;53.47;53.98;52.5;53.78;32430280;1.48
20240805;000000;52.8;53.29;51.56;52.38;38399930;1.73
20240806;000000;52.89;53.58;51.25;52.05;38972290;2.33
20240807;000000;52.13;52.36;50.14;51.29;72267980;2.22
20240808;000000;51.6;52.2;50.04;50.39;42767140;2.16
20240809;000000;50.19;51.2;49.85;51.09;38632250;1.35
20240812;000000;51.01;51.45;50.2;51.14;25392820;1.25
20240813;000000;51.26;51.82;50.9;51.72;19620140;0.92
20240814;000000;51.73;52.2;50.25;50.39;24302940;1.95
20240815;000000;50.38;50.38;48.92;49.04;40505330;1.46
20240816;000000;49;49.84;48.77;49.16;34380520;1.07
20240819;000000;49.33;49.75;48.71;49.4;35112110;1.04
20240820;000000;49.45;50.3;48.96;49.14;25488740;1.34
20240821;000000;49.29;49.43;47.5;48.04;33750320;1.93
20240822;000000;48.03;48.85;46.52;46.65;35373190;2.33
20240823;000000;46.6;47.25;45.15;46.45;36274860;2.1
20240826;000000;48.5;49.59;47.14;49.53;35865030;2.45
20240827;000000;49.5;49.52;47.72;48.38;28082320;1.8
20240828;000000;48.18;50.63;47.48;50.42;49224990;3.15
20240829;000000;50.29;51.07;48.61;49.49;70424770;2.46
20240830;000000;49.6;49.77;46.7;47.12;39205830;3.07
20240902;000000;46.95;47.03;44;44.75;37991560;3.03
20240903;000000;44.84;47.27;44.05;46.05;49037250;3.22
20240904;000000;46.26;48.87;45.22;48.41;70516090;3.65
20240905;000000;48.65;49.15;47.51;47.71;34617510;1.64
20240906;000000;47.58;48.89;47.26;48.42;25364690;1.63
20240909;000000;48.46;50.32;48.45;50.31;28708540;1.87
20240910;000000;50.32;50.72;48.05;48.84;29198970;2.67
20240911;000000;48.9;49.06;47.51;47.82;18108590;1.55
20240912;000000;47.79;48.13;46.56;47.65;23666950;1.57
20240913;000000;47.65;48.6;46.46;48.01;36941180;2.14
20240916;000000;48.43;49.49;48.12;49.29;22531680;1.37
20240917;000000;49.48;51.98;49.1;51.78;43102800;2.88
20240918;000000;51.63;51.97;50.52;51.27;37563900;1.45
20240919;000000;51.4;52.86;51.01;52.19;33140680;1.85
20240920;000000;52.31;53.17;52.19;52.83;23643130;0.98
20240923;000000;52.97;55.14;52.95;55;39246870;2.19
20240924;000000;55.2;55.28;53.51;54.35;34006470;1.77
20240925;000000;54.3;54.88;53.3;53.84;29517180;1.58
20240926;000000;53.35;53.79;52.6;53.22;21873380;1.19
20240927;000000;53.21;54.79;52.81;54.57;23580490;1.98
20240930;000000;54.94;55.74;54;54.05;32439040;1.74
20241001;000000;53.87;54.55;53.36;54.03;21051520;1.19
20241002;000000;54.03;54.49;52.22;52.63;21550440;2.27
20241003;000000;52.45;53.11;51.22;52.77;29854260;1.89
20241004;000000;53.18;53.29;52.18;53.18;15083690;1.11
20241007;000000;53.35;54.01;52.63;53.35;18217580;1.38
20241008;000000;53.53;53.65;52.7;53.32;14031060;0.95
20241009;000000;53.33;54.1;53.05;53.95;20813210;1.05
20241010;000000;54.15;54.31;53.53;54.13;17784470;0.78
20241011;000000;54.14;55;53.67;54.88;27380060;1.33
20241014;000000;54.7;56.88;54.7;56.43;40407230;2.18
20241015;000000;56.3;58.06;55.94;57.55;29972700;2.12
20241016;000000;57.59;57.9;56.07;56.88;26203780;1.83
20241017;000000;56.75;57.39;55.83;56.25;22955520;1.56
20241018;000000;56.19;57.61;55.82;57.6;23587700;1.79
