<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240918;000000;75.8;77;74.52;74.72;141390;2.48
20240919;000000;74.76;77.4;73.72;75.42;208380;3.68
20240920;000000;75.5;81.86;75.5;79.1;702400;6.36
20240923;000000;81.58;113.34;80.1;107.5;25271970;33.24
20240924;000000;107.56;115;98.7;105.66;15691740;16.3
20240925;000000;106.06;112.34;101.62;102.94;6293640;10.72
20240926;000000;102.58;104.86;95.5;97.5;2530410;9.36
20240927;000000;98.02;98.38;93.7;95.22;1728890;4.68
20240930;000000;95.28;103.8;95.28;100.16;5195060;8.52
20241001;000000;101.22;103.5;93.1;95.44;2599890;10.4
20241002;000000;96;98.58;92.62;94.82;1276450;5.96
20241003;000000;94.94;95.16;88.84;93.06;1834500;6.32
20241004;000000;93.44;97.6;90.42;94.3;2346150;7.18
20241007;000000;94.48;96.74;92.02;92.52;1048300;4.72
20241008;000000;92.88;94.7;90.02;91.1;934370;4.68
20241009;000000;91.4;98.28;90.16;97.12;4224350;8.12
20241010;000000;97.78;99.58;93;94.46;2839460;6.58
20241011;000000;94.5;94.98;92.4;93.38;735200;2.58
20241014;000000;93.72;104.78;92.96;102.76;12467260;11.82
20241015;000000;102.32;104.34;98.02;99.56;4884460;6.32
20241016;000000;100;101.76;97.1;97.58;1125740;4.66
20241017;000000;98.02;100.56;94;94.8;2006930;6.56
20241018;000000;94.78;96.46;92.7;95.1;790420;3.76
20241021;000000;95.1;95.34;92.82;93.4;801910;2.52
20241022;000000;93.44;94.9;89.6;90.12;1065570;5.3
20241023;000000;90.42;91;86.7;87.7;820760;4.3
20241024;000000;87.62;87.62;84.5;85.64;780780;3.12
20241025;000000;85.72;91.78;81.1;84.1;3037700;10.68
20241028;000000;84.32;85.5;80.3;81.2;871550;5.2
20241029;000000;81.24;84.9;81.08;84.1;848780;3.82
20241030;000000;84.14;85.9;81;81.5;760860;4.9
20241031;000000;81.6;82.86;80;80.76;414430;2.86
20241101;000000;80.76;93.3;80.5;87.88;9380770;12.8
20241102;000000;87.88;92.22;86.6;88.66;2898580;5.62
20241105;000000;89.62;95;89.52;93.54;4872240;5.48
20241106;000000;94;94.8;90.26;91.28;2645060;4.54
20241107;000000;91.5;91.5;88.78;90.42;858010;2.72
20241108;000000;90.9;91.44;87.4;89.92;900470;4.04
20241111;000000;90.86;92.98;90.16;90.52;978210;2.82
20241112;000000;90.78;91.06;85.52;88.4;904160;5.54
20241113;000000;88.2;90.3;87;87.6;646240;3.3
20241114;000000;87.42;90.38;87.14;87.84;954550;3.24
20241115;000000;88;90.1;87.88;88.3;551690;2.22
20241118;000000;87.28;89.8;83.6;86.6;837530;6.2
20241119;000000;86.86;87.64;83.32;84.32;644010;4.32
