<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240709;000000;209;209.35;197.45;197.48;9004147;11.9
20240710;000000;197;199;180.22;181.99;13448941;18.78
20240711;000000;181.06;195;179.54;193.75;10983738;15.46
20240712;000000;194.01;194.74;183.13;188.2;10311796;11.61
20240715;000000;188.7;190.65;180.57;180.93;6570795;10.08
20240716;000000;180.6;182.35;169.63;177.97;19745927;12.72
20240717;000000;177.71;182.6;174.64;177.35;11260179;7.96
20240718;000000;177.21;184.96;175.59;184.75;9635229;9.37
20240719;000000;185.05;188;181.53;185.85;8447741;6.47
20240722;000000;186.34;188.9;182.5;186.47;6356126;6.4
20240723;000000;186.43;186.45;182.5;183.67;4267053;3.95
20240724;000000;183.58;186.9;181.2;186.21;4968558;5.7
20240725;000000;186.75;188.5;185.11;187.67;5392453;3.39
20240726;000000;187.77;191.3;176;177.41;14278225;15.3
20240729;000000;176.01;176.38;169.13;170.34;13380608;7.25
20240730;000000;169.73;172.92;168.04;172.19;6392870;4.88
20240731;000000;172.12;173.8;169.55;173;7107705;4.25
20240801;000000;173.02;174.95;166.46;167.52;10189437;8.49
20240802;000000;167.52;169.84;162.2;164.92;14055391;7.64
20240805;000000;162.8;162.8;150.75;150.86;22334152;12.05
20240806;000000;152.6;156.1;146.28;149.94;26599331;9.82
20240807;000000;150.51;159.62;145;156.72;36083392;14.62
20240808;000000;156.7;158.4;150.72;152.75;25550550;7.68
20240809;000000;152;153.01;149.4;151.48;13809438;3.61
20240812;000000;150.95;154.98;148.52;154.48;18362522;6.46
20240813;000000;154.55;157.97;153.09;156.2;12013069;4.88
20240814;000000;156.6;159.8;150.71;152.98;18172021;9.09
20240815;000000;152.33;153.8;150;150.2;11833264;3.8
20240816;000000;150.24;151.2;148;149.06;11391338;3.2
20240819;000000;149.05;149.72;139.53;142.13;26243261;10.19
20240820;000000;142.1;143.41;136.54;138.04;27461437;6.87
20240821;000000;137.6;138.87;131.1;131.88;31457866;7.77
20240822;000000;131.64;136.98;119.8;121.25;104920410;17.18
20240823;000000;120.57;121.2;103.48;114.03;162732135;17.72
20240826;000000;119.24;123.98;110.2;113.87;82995431;13.78
20240827;000000;113.86;113.87;105.15;106.56;71889648;8.72
20240828;000000;105.8;106.3;97.5;101.2;93393614;8.8
20240829;000000;100.6;110.42;98.32;105.33;95263328;12.1
20240830;000000;105.91;110;102.55;106.95;86331756;7.45
20240902;000000;104.9;110.93;104.03;110.54;67003682;6.9
20240903;000000;111.65;116.25;108.4;112.84;74316693;7.85
20240904;000000;112.91;115;108.87;114.37;50756071;6.13
20240905;000000;115.59;119.33;112.22;114;63436301;7.11
20240906;000000;113.33;114.5;109.1;111.77;41760718;5.4
20240909;000000;111.4;112.27;107.48;109.65;42723334;4.79
20240910;000000;109.62;111.99;107.8;110.66;38507274;4.19
20240911;000000;110.68;111.74;106.32;107.45;33285403;5.42
20240912;000000;106.9;107.77;102.25;103.56;50848979;5.52
20240913;000000;103.55;108.7;99.35;108.03;78885452;9.35
20240916;000000;108.65;109.55;106.04;108.54;33842278;3.51
20240917;000000;108.62;112.9;106.61;112.45;35055178;6.29
20240918;000000;112.46;112.57;109.62;109.9;29008985;2.95
20240919;000000;109.79;111.28;108.2;110.5;20460683;3.08
20240920;000000;110.5;111.89;109.4;111.13;18298593;2.49
20240923;000000;112.12;120.2;111.8;119.53;55792964;8.4
20240924;000000;119.98;121.81;116.01;120.6;41605742;5.8
20240925;000000;120.1;127.25;118.19;122.82;90138275;9.06
20240926;000000;122.05;124.78;119.51;121.23;40735387;5.27
20240927;000000;121.68;123.82;120.27;123.47;21965431;3.55
20240930;000000;124.5;126.74;119.8;120.06;36372685;6.94
20241001;000000;120.15;121.76;116.2;118.9;42746904;5.56
20241002;000000;119.33;120.48;113.39;114.28;34222555;7.09
20241003;000000;113.75;116.9;111.88;116.13;41090133;5.02
20241004;000000;116.1;116.38;113.7;114.86;22153093;2.68
20241007;000000;114.91;115.6;111.85;113.38;22651902;3.75
20241008;000000;112.82;113.45;111.35;112.74;18674251;2.1
20241009;000000;112.64;112.74;110.05;110.68;21281315;2.69
20241010;000000;110.51;112.2;106.7;106.85;25383270;5.5
20241011;000000;106.9;109;105;107.99;31886746;4
20241014;000000;107.42;109.73;105.1;109.07;27390012;4.63
20241015;000000;108.93;112.19;107.5;111.02;28495869;4.69
20241016;000000;111.2;112.51;108.15;109.13;24876610;4.36
20241017;000000;108.76;109.12;106.46;106.99;22654613;2.66
20241018;000000;106.79;109.7;106.26;109.59;18115533;3.44
20241021;000000;109.8;110.1;108.02;108.75;17084169;2.08
