<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20241023;000000;2553.5;2554.5;2462;2483.5;3270478;92.5
20241024;000000;2479.5;2539.5;2477;2532;3855978;62.5
20241025;000000;2534;2548;2395.5;2409;6894052;152.5
20241028;000000;2374.5;2396;2304.5;2322.5;6425262;91.5
20241029;000000;2330.5;2406.5;2311.5;2390;6180230;95
20241030;000000;2398;2410.5;2334.5;2341;5234253;76
20241031;000000;2329;2355;2307;2327.5;4480810;48
20241101;000000;2329;2349;2317.6;2344;3973837;31.4
20241102;000000;2346.8;2354;2293.8;2312.6;3886471;60.2
20241105;000000;2325.6;2334;2310.4;2324.2;3156690;23.6
20241106;000000;2402.8;2434.6;2348.4;2373.6;7920646;86.2
20241107;000000;2374;2482;2350.6;2482;6940349;131.4
20241108;000000;2517;2577.2;2486;2573;9895911;91.2
20241111;000000;2629.2;2642.6;2596.4;2614.2;8405825;46.2
20241112;000000;2608;2609;2543.6;2549.8;6710484;65.4
20241113;000000;2543.6;2584.8;2513.2;2524;7645956;71.6
20241114;000000;2529.8;2575;2526.6;2554;6827605;48.4
20241115;000000;2565.2;2606.4;2550;2603.6;6468291;56.4
20241118;000000;2541.4;2667.2;2530;2640.4;11492301;137.2
20241119;000000;2655.8;2675.4;2566;2591;12498495;109.4
20241120;000000;2605.6;2623.4;2530;2540.2;9959783;93.4
20241121;000000;2550.4;2579;2473.2;2576.4;10615457;105.8
20241122;000000;2581.8;2588.4;2412.2;2444.8;12277494;176.2
20241125;000000;2386;2394.8;2326;2339.6;7787474;68.8
20241126;000000;2340.2;2375.4;2251.2;2274;10452608;124.2
20241127;000000;2280.8;2389.8;2207.4;2384.8;16163668;182.4
20241128;000000;2390.6;2416.6;2330.4;2367;9854928;86.2
20241129;000000;2361.2;2424;2351.2;2387.8;7772522;72.8
20241202;000000;2404;2430.6;2388.4;2392.2;6213496;42.2
20241203;000000;2397.8;2402.6;2359.2;2371.4;2126016;43.4
