<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240403;000000;220.2;222.5;217.82;220.98;2094420;4.68
20240404;000000;221.58;226.5;220.2;223.82;5239220;6.3
20240405;000000;224;226.8;223;223.98;1758340;3.8
20240408;000000;224.58;234.5;224.42;234.5;7164950;10.08
20240409;000000;234.94;235;226.4;228.8;4229200;8.6
20240410;000000;229.16;229.46;225.52;228.34;1721990;3.94
20240411;000000;229;234.1;228.36;231.1;2386020;5.74
20240412;000000;231.3;231.92;230;230;1030480;1.92
20240415;000000;231.7;242.98;231.34;242.92;6106720;11.64
20240416;000000;242.9;242.92;236;239.4;4132830;6.92
20240417;000000;240;241.78;237.62;238.8;1546390;4.16
20240418;000000;239;239.88;230.5;233.2;3848630;9.38
20240419;000000;234.9;236.58;227.1;229.34;3336380;9.48
20240422;000000;229.82;232.76;228.9;229.24;1749470;3.86
20240423;000000;229.2;230.8;225.36;226.22;1481390;5.44
20240424;000000;226.22;228.14;223.16;223.3;1312210;4.98
20240425;000000;223.96;226.96;220.14;222.24;1440440;6.82
20240426;000000;222.72;224.1;219.56;221.06;1705230;4.54
20240427;000000;221.44;221.64;219.52;220.22;1358690;2.12
20240429;000000;221.18;227.22;220.64;226.58;1952070;6.58
20240430;000000;227.36;229;225.16;226.14;944360;3.84
20240502;000000;226.22;226.36;221.48;222.5;1339850;4.88
20240503;000000;222.44;222.5;220;221.42;853050;2.5
20240506;000000;222.08;224.6;221;222.32;831990;3.6
20240507;000000;223.58;224;221.5;222.6;783110;2.5
20240508;000000;222.5;223.9;221.9;223.44;530390;2
20240510;000000;223.26;224.88;222.04;223.9;624100;2.84
20240513;000000;224.44;228.28;224.06;225.46;1496840;4.22
20240514;000000;226.02;227.66;222.56;224.9;1113000;5.1
20240515;000000;225;225.5;222.4;223.46;844920;3.1
20240516;000000;223.54;223.82;218.2;220.38;2048990;5.62
20240517;000000;221.04;222;217;217.76;2632740;5
20240520;000000;217.78;218.5;214.22;215.04;1476030;4.28
20240521;000000;215.04;215.28;210;214.54;2165000;5.28
20240522;000000;214.9;223.66;214.66;222.92;3887180;9
20240523;000000;222.36;224;218.5;220.9;1803610;5.5
20240524;000000;220.18;221.06;217.02;218.7;1263520;4.04
20240527;000000;219;220.14;209.1;211.94;2201320;11.04
20240528;000000;212.02;215;207.38;208.34;1810070;7.62
20240529;000000;208.3;209.84;199;200;4393470;10.84
20240530;000000;197.98;203.38;186.8;190.28;10025520;16.58
20240531;000000;187.2;189.2;180.64;183.88;4425430;8.56
20240603;000000;185.44;192.6;180;187.44;8346020;12.6
20240604;000000;179.02;198.42;177.58;196.1;8210530;20.84
20240605;000000;196.06;205.96;191.16;203.68;9034670;14.8
20240606;000000;204.64;205.48;200.1;203.96;1831610;5.38
20240607;000000;203.66;210;202.62;206.42;2668550;7.38
20240610;000000;206.76;208.88;204;205.34;1907580;4.88
20240611;000000;204.56;205.94;200.5;205.84;1868220;5.44
20240613;000000;194.58;205.36;194;203.16;2608520;11.36
20240614;000000;203.9;210;201.66;209.62;1162630;8.34
20240617;000000;210.46;215;206.82;206.82;1590800;8.18
20240618;000000;206.8;209.56;202.1;203;1344450;7.46
20240619;000000;203;203.38;191.62;195.06;1962510;11.76
20240620;000000;195;206.5;193.12;204.7;1345550;13.38
20240621;000000;205.28;206.28;198.26;199.32;963170;8.02
20240624;000000;200;201.46;196.66;197.16;423450;4.8
20240625;000000;197.16;200.94;194.2;200.7;632620;6.74
20240626;000000;200.9;203.48;199.34;200.52;488290;4.14
20240627;000000;201.12;202.28;198.7;200.8;474210;3.58
20240628;000000;200.64;201.3;197.8;198.8;540040;3.5
20240701;000000;200;200.96;198.84;199.4;377410;2.12
20240702;000000;199;199.94;194.6;196.08;811240;5.34
20240703;000000;196.54;196.54;190.34;192.68;895740;6.2
20240704;000000;192.6;192.6;185.54;187.8;1319520;7.06
20240705;000000;188.22;188.92;185;186.58;948780;3.92
20240708;000000;186.58;186.58;180;180.28;1261140;6.58
20240709;000000;181.28;184.46;170.82;171.68;3786020;13.64
20240710;000000;172.2;172.28;157.1;160.48;3832180;15.18
20240711;000000;161.4;174.74;161;173.74;3022020;13.74
20240712;000000;176.42;176.48;164.46;172.36;3271800;12.02
20240715;000000;172.5;174.28;165;167;2650230;9.28
20240716;000000;166.52;172.1;161.84;170.8;3487240;10.26
20240717;000000;172.86;173.82;168.1;170.08;1955640;5.72
20240718;000000;170.8;175.44;168;173.84;1351000;7.44
20240719;000000;173.92;182.24;172.96;180.1;2080470;9.28
