<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240329;000000;308.62;311.3;307.75;309.68;709020;3.55
20240401;000000;311;315.6;311;313.85;1289540;4.6
20240402;000000;315;321.7;314;321.39;1724680;7.7
20240403;000000;321.47;324.22;317.01;317.66;2405580;7.21
20240404;000000;317.72;319.1;305.91;314.33;1948940;13.19
20240405;000000;314.03;315.2;311.36;313.5;777250;3.84
20240408;000000;313.98;316.42;311.6;314.01;1004050;4.82
20240409;000000;314.4;314.81;311.2;312;1040610;3.61
20240410;000000;312.52;315;310;313.2;999680;5
20240411;000000;313.2;322.39;312.67;321.12;2344990;9.72
20240412;000000;321.1;325.93;318.15;325.28;2196900;7.78
20240415;000000;325.49;339;325.31;339;4376830;13.69
20240416;000000;338.9;340.15;331.04;336.63;2653280;9.11
20240417;000000;336.76;337.89;329.5;331.06;947860;8.39
20240418;000000;332;334.39;326.01;329.76;1030400;8.38
20240419;000000;330.95;337.16;330.81;333.87;1001760;6.35
20240422;000000;334.4;335.78;328.11;329.15;1318250;7.67
20240423;000000;329.99;333.49;325.59;326.96;1056010;7.9
20240424;000000;327.01;341;320.42;339.92;6350440;20.58
20240425;000000;339.6;344;333.15;337.51;3909780;10.85
20240426;000000;338.07;338.56;333;334.29;1513750;5.56
20240427;000000;334.9;336.68;332.04;336.33;963360;4.64
20240429;000000;336.96;345;334.55;339.11;1583860;10.45
20240430;000000;340.3;342.35;339;341.89;807640;3.35
20240502;000000;342.99;346;339.76;341.07;2291280;6.24
20240503;000000;340.5;340.76;334.5;336.4;2654360;6.26
20240506;000000;307.9;316;305;313.77;5828620;11
20240507;000000;313.56;330;313.51;329.01;3366790;16.49
20240508;000000;328;332.55;326;327.29;1974890;6.55
20240510;000000;327.25;329.9;324.1;327.24;819110;5.8
20240513;000000;327.3;332.1;325.46;332.1;1378310;6.64
20240514;000000;332.34;334.99;328.08;332.8;1368980;6.91
20240515;000000;333.9;339.75;331;339.73;1867360;8.75
20240516;000000;340.19;346.94;336;346.26;1979880;10.94
20240517;000000;343.42;353.17;342;351.77;2055130;11.17
20240520;000000;359.03;367.53;355.03;359.99;5247340;12.5
20240521;000000;360.31;374.8;357;374.8;4111060;17.8
20240522;000000;375.3;376.98;362.33;366.21;3364420;14.65
20240523;000000;365.21;372.79;361.5;370.52;1824220;11.29
20240524;000000;370.5;375;362.95;368.6;1386870;12.05
20240527;000000;367.97;368.4;353;357.34;2765890;15.4
20240528;000000;357.57;369.47;356;364.88;1699910;13.47
20240529;000000;364.99;365.4;354.02;359.12;1627810;11.38
20240530;000000;360.36;360.36;345.34;349.38;2097960;15.02
20240531;000000;350.1;350.1;335;340.89;2701540;15.1
20240603;000000;344.98;349;331.25;348;3738830;17.75
20240604;000000;349.5;364;349.24;363.86;2747410;14.76
20240605;000000;363.98;367;353;355.19;1777590;14
20240606;000000;355.19;358.5;337.7;353.69;1716240;20.8
20240607;000000;354.62;375.1;353.02;371.14;2855280;22.08
20240610;000000;374.75;378.88;365.3;370.33;2732930;13.58
20240611;000000;370.88;371.47;361;364;1273140;10.47
20240613;000000;350.01;373.03;348;368.9;2806890;25.03
20240614;000000;369.01;375;363;373.8;1215260;12
20240617;000000;376;381.8;373.7;375.25;3349680;8.1
20240618;000000;375;375;358.4;362.57;2783020;16.6
20240619;000000;362.6;369.11;353.3;361.76;2580510;15.81
20240620;000000;362;371;357.15;367.38;2544880;13.85
20240621;000000;368.47;369.5;363;363.6;1170950;6.5
20240624;000000;362.65;378;361;371.21;2860710;17
20240625;000000;371.66;381.45;371.66;379.74;3463600;9.79
20240626;000000;381;387.89;380.85;387.68;2711280;7.04
20240627;000000;388.14;388.88;382.32;387.3;1277650;6.56
20240628;000000;388;388.79;383.6;385.97;831000;5.19
20240701;000000;385.97;386.8;382.29;382.92;758050;4.51
20240702;000000;383.01;385.79;379.88;385.48;1060040;5.91
20240703;000000;385.75;385.96;376.62;378.32;999110;9.34
20240704;000000;378.46;378.96;365.51;373.4;2143520;13.45
20240705;000000;373.5;378.99;368.44;375.01;1336560;10.55
20240708;000000;375.05;376.83;365.26;368.6;1647600;11.57
20240709;000000;368.62;369.2;362.52;365.95;1274070;6.68
20240710;000000;365.95;366.88;346;349.8;2434570;20.88
20240711;000000;348.99;368.5;348.45;367.91;1903010;20.05
20240712;000000;363.01;367.8;345.95;356.45;4832350;21.85
20240715;000000;357;357.78;343.35;345.99;1606480;14.43
20240716;000000;347;355.99;337.42;350.05;2261080;18.57
20240717;000000;351;354.96;345.87;347.88;1003800;9.09
20240718;000000;348.52;358.64;346.23;358.6;967560;12.41
20240719;000000;357.69;367;354.5;365.8;1961970;12.5
20240722;000000;368.99;372.78;360;366.61;1509820;12.78
20240723;000000;364.99;367;360.5;362.69;735230;6.5
20240724;000000;362.1;376.5;358.51;372.44;2052620;17.99
20240725;000000;372.6;389.07;368.63;387.09;6508300;20.44
20240726;000000;387.1;390.31;379.18;382.07;4386930;11.13
20240729;000000;378.5;379.72;361.39;365.35;2118420;18.33
20240730;000000;364.98;376;361.9;371.98;1101380;14.1
20240731;000000;372.49;378.51;371.22;377.04;1250950;7.29
20240801;000000;377.38;384.14;374;375.35;1744980;10.14
20240802;000000;375.35;377.46;365.61;370.18;1955020;11.85
20240805;000000;365.76;368;357.63;363.6;1710910;10.37
20240806;000000;364.14;369.99;360.76;364.27;839050;9.23
20240807;000000;364.68;368.9;360.07;364.8;1001930;8.83
20240808;000000;365.3;369.65;360.51;362.7;742570;9.14
20240809;000000;362.69;364.2;360.52;362.56;432860;3.68
20240812;000000;361.52;364.45;358.24;362.03;672980;6.21
20240813;000000;362.57;363.94;359.83;361.49;526690;4.11
20240814;000000;361.7;365;358.18;359;870120;6.82
20240815;000000;359.1;363.51;356.11;359.71;770260;7.4
20240816;000000;360.88;363.96;357.72;360.32;666400;6.24
20240819;000000;360;363;350.38;354.15;1478480;12.62
20240820;000000;354.2;367.9;351.27;363.54;2200800;16.63
20240821;000000;365.19;371.96;364.32;370.86;2460650;7.64
20240822;000000;370.9;373;363.4;366.07;1138740;9.6
20240823;000000;368.5;371.34;353.5;360.42;2574180;17.84
20240826;000000;377.42;377.45;363;366.68;1241280;14.45
20240827;000000;367.38;367.8;360.8;361.11;621340;7
20240828;000000;361.71;362;352.8;359.5;850480;9.2
20240829;000000;359.09;362.55;353.45;357.56;640860;9.1
20240830;000000;358.59;360;345.12;349.3;1846180;14.88
20240902;000000;348.68;348.69;327.75;336.8;3299500;20.94
20240903;000000;333.26;343.38;330;334.16;2311530;13.38
20240904;000000;335.03;348;331.85;346.24;1314060;16.15
20240905;000000;348.08;351.49;344;346;1522510;7.49
20240906;000000;346.4;350;343.8;349.55;1013900;6.2
20240909;000000;353;362;350.4;361.45;1624190;11.6
20240910;000000;363.5;368.34;358.02;360.42;1510450;10.32
20240911;000000;360.15;361.47;356;357.99;886950;5.47
20240912;000000;358.36;363.5;356.4;360.36;1217120;7.1
20240913;000000;361.01;364.5;354;364.1;1956180;10.5
20240916;000000;365.2;373.77;364.11;371.11;1763390;9.66
20240917;000000;373.22;376.9;370.06;375.01;1360120;6.84
20240918;000000;376.22;383.88;372.66;376.42;2325920;11.22
20240919;000000;377.27;379.1;371.8;376.3;1060090;7.3
20240920;000000;376.9;386.21;376.47;383.9;1329020;9.74
20240923;000000;385.65;393.9;385.65;393.39;2398940;8.25
20240924;000000;394.1;397;386.56;390.14;1938290;10.44
20240925;000000;390.14;392.15;384.01;386.2;1546560;8.14
20240926;000000;385.32;391.5;385;389.67;1104150;6.5
20240927;000000;390;394.89;389.67;394.85;2322820;5.22
20240930;000000;374.95;382.65;372.48;379.47;3941900;10.17
20241001;000000;377.98;377.98;372.2;373.31;1684230;5.78
20241002;000000;374.24;375.88;365.14;366.59;1237650;10.74
20241003;000000;367.48;370.06;360.15;365.7;1423550;9.91
20241004;000000;367.19;372.19;365.95;366.07;817830;6.24
20241007;000000;366.07;366.87;356.48;359;974100;10.39
20241008;000000;359;363.25;353.12;362.51;865550;10.13
20241009;000000;362.58;363.29;353.5;355.32;805270;9.79
20241010;000000;354.5;358.64;353.69;357.45;802890;4.95
20241011;000000;357.91;359.92;354.13;358.25;452850;5.79
20241014;000000;362.02;366.6;359.21;365.32;1271780;7.39
20241015;000000;365.8;372.83;364.08;371.49;882660;8.75
20241016;000000;372.01;374.72;365.85;368.02;668970;8.87
20241017;000000;367.95;368.5;361.27;362;967150;7.23
20241018;000000;362.01;365;360.4;362.84;467430;4.6
20241021;000000;363.38;366.26;362.31;363.01;339860;3.95
20241022;000000;363.79;364.04;352.55;356;930040;11.49
20241023;000000;355.82;356;347.76;351.09;1033970;8.24
20241024;000000;350.8;359.74;344.5;355.53;1204850;15.24
20241025;000000;356.22;359.55;347.32;349.55;1480840;12.23
20241028;000000;349.13;351.55;340;344.21;1341910;11.55
20241029;000000;343.15;347.34;340.47;342.48;1002520;6.87
