<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240827;000000;1016.2;1017.2;977.8;986.4;7635945;39.4
20240828;000000;979;983.8;950.2;978.8;7036161;33.6
20240829;000000;978.8;1004.8;970.4;997.8;5510120;34.4
20240830;000000;996.8;1001.4;965.2;977.2;3888720;36.2
20240902;000000;975;981.4;943;958;4185723;38.4
20240903;000000;958.4;976;937.6;952.6;4030762;38.4
20240904;000000;952;972;947.6;966.8;2234131;24.4
20240905;000000;970.4;976;948;949.2;2764961;28
20240906;000000;948.4;964.8;941;964.4;2164453;23.8
20240909;000000;965.4;997.8;965.2;994.6;2359410;32.6
20240910;000000;997.2;1013.8;970.8;986;4682401;43
20240911;000000;983;990.8;959;964.2;1728645;31.8
20240912;000000;962.4;968.2;947.4;956;2035305;20.8
20240913;000000;956.8;973.6;946;968.6;2433562;27.6
20240916;000000;977.4;988.8;973.2;985;2048252;15.6
20240917;000000;990.2;999.2;980;993.6;1930111;19.2
20240918;000000;994;997.8;984.2;984.8;1557636;13.6
20240919;000000;984.4;1007.8;984.2;997.4;2418693;23.6
20240920;000000;999.2;1015;993;1002;2616338;22
20240923;000000;999;1007;990;1001.4;3477898;17
20240924;000000;999.8;1047.2;996;1040.2;7963775;51.2
20240925;000000;1039.8;1048;1020.4;1023.8;3684611;27.6
20240926;000000;1021.8;1025;1006;1015.6;2693712;19
20240927;000000;1016;1035.2;1012.4;1025.6;2821500;22.8
20240930;000000;1028;1042.4;1002.2;1004.2;3430707;40.2
20241001;000000;1004.6;1012.8;991;1007.8;3032538;21.8
20241002;000000;1008.8;1016.8;969;980.2;3598146;47.8
20241003;000000;980.4;995;972.6;993.6;2388330;22.4
20241004;000000;995.6;1003.4;989;999.8;1755453;14.4
20241007;000000;1001.6;1007.2;985.8;993.6;1966313;21.4
20241008;000000;994.6;997;982;985.8;1461795;15
20241009;000000;986.2;993.6;971.2;976.8;1438536;22.4
20241010;000000;978;991.8;977.2;985.6;1793076;14.6
20241011;000000;955.2;962.2;953.8;957.8;1618500;8.4
20241014;000000;959.6;971.8;952;969.4;1781883;19.8
20241015;000000;969.4;980.6;964.6;974.2;1478289;16
20241016;000000;976;984.4;966.8;970.6;1341695;17.6
20241017;000000;970.6;972.6;957.2;958.6;1129272;15.4
20241018;000000;958.6;965;953.8;956.6;1042563;11.2
20241021;000000;956.8;968;954.8;958.4;1059240;13.2
20241022;000000;958.4;968.8;950.6;960.6;1653283;18.2
20241023;000000;959.2;961.4;923.2;928.8;2674266;38.2
20241024;000000;928.8;931.6;910.8;922;2665560;20.8
20241025;000000;922;931.2;898;903.4;3196054;33.2
20241028;000000;897.6;897.8;861.2;868.4;3151692;36.6
20241029;000000;868.2;879.4;851.2;865.4;2538289;28.2
20241030;000000;871.2;883;861.4;862;1911916;21.6
20241031;000000;860.6;867.2;838.2;843.8;2138246;29
