<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240123;000000;6840.5;6850;6782;6799.5;354955;68
20240124;000000;6797;6828;6754;6795;469428;74
20240125;000000;6810.5;6819.5;6760.5;6809;320855;59
20240126;000000;6825;6920;6801;6901;674424;119
20240129;000000;6917.5;6975;6911;6943;590347;64
20240130;000000;6946;7007;6933;6994;649664;74
20240131;000000;7001;7122;7001;7090.5;940842;121
20240201;000000;7103.5;7145;7059;7093.5;575354;86
20240202;000000;7094;7127;7050;7114;573644;77
20240205;000000;7096.5;7185;7094;7137.5;535071;91
20240206;000000;7145;7171;7115;7163;341917;56
20240207;000000;7170;7272.5;7160.5;7265;780871;112
20240208;000000;7270.5;7288;7191;7231.5;640712;97
20240209;000000;7233.5;7260;7182.5;7238.5;346403;77.5
20240212;000000;7240;7280;7223;7280;314278;57
20240213;000000;7297.5;7311;7231;7269;484883;80
20240214;000000;7275;7283;7200.5;7220.5;338867;82.5
20240215;000000;7219.5;7295;7184;7282.5;392627;111
20240216;000000;7293.5;7300;7205;7224.5;509264;95
20240219;000000;7232.5;7240.5;7187.5;7188;400770;53
20240220;000000;7187.5;7192.5;7070.5;7081;689787;122
20240221;000000;7080;7115;6962;6990.5;1054665;153
20240222;000000;7003;7040;6970;7021.5;671791;70
20240226;000000;7150.5;7178.5;7103.5;7164;607269;75
20240227;000000;7159;7163;7104;7141.5;341004;59
20240228;000000;7150;7276;7130.5;7261.5;735242;145.5
20240229;000000;7263;7402;7220;7378;1140562;182
20240301;000000;7387.5;7464;7372.5;7463.5;971175;91.5
20240304;000000;7477.5;7534;7351.5;7511.5;1910090;182.5
20240305;000000;7516;7544.5;7430.5;7499.5;1037416;114
20240306;000000;7499.5;7561.5;7470;7483;856812;91.5
20240307;000000;7489;7517;7457;7513;425468;60
20240311;000000;7536.5;7592.5;7523.5;7554.5;647248;69
20240312;000000;7536;7575.5;7481.5;7536.5;1106207;94
20240313;000000;7537.5;7554.5;7409.5;7426;1229707;145
20240314;000000;7426.5;7434.5;7320;7370;1388399;114.5
20240315;000000;7365.5;7404;7336.5;7380;785928;67.5
20240318;000000;7393.5;7397.5;7309.5;7344;599138;88
20240319;000000;7348.5;7348.5;7250;7333.5;1160862;98.5
20240320;000000;7337.5;7460;7337.5;7438.5;1157333;122.5
20240321;000000;7450;7454.5;7370;7417.5;646582;84.5
20240322;000000;7420.5;7538;7184.5;7303;3496505;353.5
20240325;000000;7306;7452;7303;7438;873744;149
20240326;000000;7455;7455;7380;7419;560527;75
20240327;000000;7425.5;7497;7404.5;7493;519597;92.5
20240328;000000;7495;7517;7430.5;7481;497720;86.5
20240329;000000;7482;7578;7460;7551;704938;118
20240401;000000;7574;7666;7573;7665;740045;93
20240402;000000;7675.5;7689;7625;7654;382453;64
20240403;000000;7654;7699;7641;7686.5;316041;58
20240404;000000;7687.5;7783.5;7678;7727.5;737851;105.5
20240405;000000;7732;7777.5;7654;7662.5;1057336;123.5
20240408;000000;7700;7777;7662.5;7767;657279;114.5
20240409;000000;7769;7844;7740;7786.5;853846;104
20240410;000000;7800;7837;7755;7825;386605;82
20240411;000000;7830;7870;7827;7836.5;412878;43
20240412;000000;7840;7865;7785;7839.5;477383;80
20240415;000000;7852.5;7931;7849.5;7920.5;542040;81.5
20240416;000000;7926.5;7926.5;7870;7897;413353;56.5
20240417;000000;7897.5;7918;7855.5;7886;442141;62.5
20240418;000000;7887;7897.5;7800;7840;538963;97.5
20240419;000000;7860;7868.5;7790;7835.5;633337;78.5
20240422;000000;7836;7878;7803;7827.5;668215;75
20240423;000000;7846;7886.5;7806;7840;512848;80.5
20240424;000000;7846.5;7854;7803.5;7820.5;349160;50.5
20240425;000000;7820.5;7831.5;7809.5;7827.5;306205;22
20240426;000000;7828;7940;7810;7929.5;776559;130
20240427;000000;7931;8018.5;7931;8002.5;654038;87.5
20240429;000000;8017.5;8161.5;8016;8152;600543;145.5
20240430;000000;8152.5;8175;8080;8085.5;433935;95
20240502;000000;8096.5;8125;8037;8104.5;563870;88
20240503;000000;8096.5;8100;8010;8075.5;569435;90
20240506;000000;8075;8089;7901;8026.5;2567901;188
20240507;000000;7593.5;7763.5;7574;7722.5;2387226;189.5
20240508;000000;7754;7772;7691;7714;681279;81
20240510;000000;7720.5;7726;7710;7713.5;217627;16
