<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20240314;000000;74.71;74.9;73.24;73.86;13660360;1.66;1.039216;;;;;
20240315;000000;73.86;74.45;73.55;74.35;8080180;0.9;1.19207;;;;;
20240318;000000;74.37;74.82;73.6;74.34;12148960;1.22;1.094864;;;;;
20240319;000000;74.35;75.03;73.7;74.99;19027370;1.33;1.133274;;;;;
20240320;000000;75.06;77.5;74.78;77.12;49450750;2.72;1.223479;;;;;
20240321;000000;77.14;77.38;75.56;76.65;32431520;1.82;1.689334;;;;;
20240322;000000;76.74;77.18;74.46;75.58;23994830;2.72;1.669396;;;;;
20240325;000000;75.59;76.5;74.72;76.41;14038370;1.78;2.05337;;;;;
20240326;000000;76.43;76.82;75.4;76.7;13597680;1.42;2.058426;;;;;
20240327;000000;76.71;78.74;76.15;78.39;24032010;2.59;2.012914;;;;;
20240328;000000;78.57;78.78;77.25;78.45;29053360;1.53;2.089549;;;;;
20240329;000000;78.65;79.33;77.8;78.72;16841440;1.53;1.976089;;;;;
20240401;000000;78.78;79.42;77.83;78.61;14639450;1.59;1.744067;;;;;
20240402;000000;78.81;79.89;78.03;79.65;18991690;1.86;1.697687;;;;;
20240403;000000;79.64;79.97;78.34;78.66;15039940;1.63;1.816284;;;;;
20240404;000000;78.66;78.99;78.12;78.26;9670360;0.87;1.638361;;;;;
20240405;000000;78.15;78.48;77.3;77.54;9891840;1.18;1.433777;;;;;
20240408;000000;77.71;78.46;77.5;77.99;16693260;0.96;1.373674;;;;;
20240409;000000;78.09;78.29;76.24;76.51;16873400;2.05;1.250728;;;;;
20240410;000000;76.4;77.36;75.93;76.96;10009940;1.43;1.405921;;;;;
20240411;000000;77.11;77.11;76.27;76.75;6669950;0.84;1.341339;;;;;
20240412;000000;76.85;77.44;76.52;76.9;13409770;0.92;1.256836;;;;;
20240415;000000;76.87;77.2;76.57;76.75;7681530;0.63;1.181548;;;;;
20240416;000000;76.7;77.1;75.68;76.39;25068680;1.42;1.098251;;;;;
20240417;000000;76.4;76.74;75.83;75.87;7681630;0.91;1.074004;;;;;
20240418;000000;75.93;76.21;75.2;75.5;8323490;1.01;0.957067;;;;;
20240419;000000;75.63;76.64;75.41;76.2;7016330;1.23;0.986083;;;;;
20240422;000000;76.29;77.38;76.15;77.32;11458360;1.23;1.054977;;;;;
20240423;000000;77.43;77.96;76.21;76.25;10947900;1.75;1.172159;;;;;
20240424;000000;76.1;76.8;75.67;75.94;9551190;1.13;1.286819;;;;;
20240425;000000;75.92;76.63;75.5;76.51;4881950;1.13;1.273789;;;;;
20240426;000000;76.34;76.97;75.8;76.29;7252720;1.17;1.273617;;;;;
20240427;000000;76.42;76.96;75.9;76.71;5503710;1.06;1.257489;;;;;
20240429;000000;76.81;77.65;76.4;76.79;5223940;1.25;1.224464;;;;;
20240430;000000;76.86;77.56;76.28;77.4;4643600;1.28;1.156307;;;;;
20240502;000000;77.39;79.09;77.38;78.49;24245390;1.71;1.19148;;;;;
20240503;000000;78.64;79.06;77.3;77.63;10249870;1.76;1.341927;;;;;
20240506;000000;77.62;77.94;76.8;77.12;13090520;1.14;1.463352;;;;;
20240507;000000;77.05;78.01;77;77.12;8868570;1.01;1.413128;;;;;
20240508;000000;77.19;78.24;77.12;78.11;6632530;1.12;1.328945;;;;;
20240510;000000;78.14;78.57;77.7;78.37;5715400;0.87;1.303362;;;;;
20240513;000000;78.71;79.7;78.15;79.58;12413080;1.55;1.142387;;;;;
20240514;000000;79.7;79.8;78.51;79.23;10187260;1.29;1.174437;;;;;
20240515;000000;79.24;79.91;78.83;79.7;10771910;1.08;1.195059;;;;;
20240516;000000;80.01;81.43;79.51;80.82;31776390;1.92;1.181262;;;;;
20240517;000000;81.01;81.2;80.13;80.92;17046690;1.07;1.393312;;;;;
20240520;000000;82.15;83.18;80.25;81.45;28287410;2.93;1.367507;;;;;
20240521;000000;81.38;81.68;79.82;81.3;15872230;1.86;1.784253;;;;;
20240522;000000;81.47;82.12;80.73;80.73;12864030;1.39;1.820998;;;;;
20240523;000000;80.81;81.9;80.7;81.21;12533840;1.2;1.802537;;;;;
20240524;000000;81.27;81.49;79.1;80.05;14442910;2.39;1.611972;;;;;
20240527;000000;80.1;80.22;78.02;79.29;22370550;2.2;1.969223;;;;;
20240528;000000;79.45;81.2;79;80.17;31043010;2.2;1.874584;;;;;
20240529;000000;80.44;80.45;78.8;79.97;12134300;1.65;1.936254;;;;;
20240530;000000;79.97;80.25;77.58;78.9;17831100;2.67;1.905357;;;;;
20240531;000000;76.76;76.98;73.88;74.98;29488110;3.1;2.249291;;;;;
20240603;000000;74.72;75.44;71.22;74.17;26326250;4.22;2.454354;;;;;
20240604;000000;74.16;75.24;73.09;74.71;14568750;2.15;2.953894;;;;;
20240605;000000;75;77;74.04;74.69;15793070;2.96;2.752515;;;;;
20240606;000000;74.76;75.09;73.51;73.65;7843020;1.58;2.987522;;;;;
20240607;000000;73.84;75.32;73.26;74.53;16033190;2.06;2.652688;;;;;
20240610;000000;75.28;75.88;73.14;73.71;15489110;2.74;2.502136;;;;;
20240611;000000;73.42;75.59;72.62;74.82;23440860;2.97;2.325246;;;;;
20240613;000000;72.5;74.25;71.02;74;16309960;3.23;2.535963;;;;;
20240614;000000;74.19;74.71;73.43;73.87;15521770;1.28;2.620227;;;;;
20240617;000000;74.01;74.24;72;72.5;15090680;2.24;2.357396;;;;;
20240618;000000;72.44;72.96;70.21;70.96;15858980;2.75;2.416704;;;;;
20240619;000000;70.79;71.18;68.3;69.49;20468670;2.88;2.495311;;;;;
20240620;000000;69.69;72.35;68.97;72.04;23436050;3.38;2.542874;;;;;
20240621;000000;72.06;72.61;70.41;71.3;9887890;2.2;2.62296;;;;;
20240624;000000;71.3;73.88;71.08;71.56;27713940;2.8;2.664138;;;;;
20240625;000000;71.5;72.55;70.24;72.45;12391880;2.31;2.78178;;;;;
20240626;000000;72.51;72.63;71.12;71.3;8621880;1.51;2.661741;;;;;
20240627;000000;71.4;71.45;69.8;71.05;11592230;1.65;2.337099;;;;;
20240628;000000;71.13;71.68;70.33;70.83;6934020;1.35;2.015839;;;;;
20240701;000000;71.14;72.45;70.46;72.24;10437190;1.99;1.842195;;;;;
20240702;000000;72.4;72.44;70.96;71.3;10293650;1.48;1.772907;;;;;
20240703;000000;71.4;71.78;69.81;70.42;11521980;1.97;1.596462;;;;;
20240704;000000;70.36;70.67;69.41;69.87;8964010;1.26;1.717159;;;;;
20240705;000000;69.78;70.24;69.11;70.04;9203220;1.13;1.580562;;;;;
20240708;000000;70.05;70.49;68.55;68.89;8465180;1.94;1.509601;;;;;
20240709;000000;68.8;69.17;67.88;68.05;11695910;1.29;1.575166;;;;;
20240710;000000;68;68.61;65.11;65.15;23252480;3.5;1.509325;;;;;
20240711;000000;65.15;67.1;64.36;66.58;42536040;2.74;1.997394;;;;;
20240712;000000;66.51;66.96;64.33;64.47;24297300;2.63;2.239452;;;;;
20240715;000000;64.48;65.12;61.5;62.14;36082040;3.62;2.476711;;;;;
20240716;000000;62.25;62.94;61.05;62.4;29800070;1.89;2.83924;;;;;
20240717;000000;62.45;62.63;60.45;61.48;28569000;2.18;2.795877;;;;;
20240718;000000;61.36;63.4;61;63.11;22307470;2.4;2.543202;;;;;
20240719;000000;63.25;64.2;62.33;62.8;24637600;1.87;2.497262;;;;;
20240722;000000;63.07;64.47;62.93;64;28915700;1.54;2.338231;;;;;
20240723;000000;64.03;64.5;62.7;63.67;22863410;1.8;1.924684;;;;;
20240724;000000;63.5;64.46;63.3;63.82;18369390;1.16;1.918634;;;;;
20240725;000000;63.8;63.88;63.1;63.19;11697530;0.78;1.687114;;;;;
20240726;000000;63.17;63.89;60.54;61.35;47621650;3.35;1.348902;;;;;
20240729;000000;60.9;61;59.75;59.92;25187820;1.25;1.863749;;;;;
20240730;000000;59.89;61.17;59.55;60.68;18243810;1.62;1.687129;;;;;
20240731;000000;60.8;61.45;60.52;60.98;17864150;0.93;1.638058;;;;;
20240801;000000;61.04;61.87;60.5;60.58;11882600;1.37;1.493311;;;;;
20240802;000000;60.58;61.3;59.82;60.24;11929320;1.48;1.640415;;;;;
20240805;000000;59.8;59.88;58.78;59.19;21856050;1.1;1.342196;;;;;
20240806;000000;59.57;60.74;59.19;60.2;17353930;1.55;1.289542;;;;;
20240807;000000;60.24;61.23;59.42;61.06;24789130;1.81;1.308679;;;;;
20240808;000000;61;61.78;60;60.61;21993730;1.78;1.501297;;;;;
20240809;000000;60.56;61.26;60.3;60.95;10967350;0.96;1.585714;;;;;
20240812;000000;60.8;61.6;59.13;59.5;53267080;2.47;1.402068;;;;;
20240813;000000;59.65;60.17;59.33;59.58;20439820;0.84;1.767651;;;;;
20240814;000000;59.58;60;58.55;58.69;21085610;1.45;1.519594;;;;;
20240815;000000;58.76;59.08;58.46;58.7;15878840;0.62;1.481617;;;;;
20240816;000000;58.77;59.01;57.74;57.87;14321730;1.27;1.187298;;;;;
20240819;000000;57.98;58.28;56.94;57.03;18142040;1.34;1.301339;;;;;
20240820;000000;57.01;57.2;55.44;55.63;38810950;1.76;1.129494;;;;;
20240821;000000;55.65;55.99;54.77;55.47;23860560;1.22;1.349578;;;;;
20240822;000000;55.59;55.59;52.35;52.9;29698460;3.24;1.260764;;;;;
20240823;000000;52.88;54.43;52;53.88;48389350;2.43;1.912676;;;;;
20240826;000000;54.55;55;53.3;54.81;24813270;1.7;2.092081;;;;;
20240827;000000;55.76;56.13;51.55;52.06;56457180;4.58;2.061564;;;;;
20240828;000000;51.99;52;50.85;51.59;26262170;1.15;2.805276;;;;;
20240829;000000;51.64;52.48;50.57;51.69;18784420;1.91;2.529791;;;;;
20240830;000000;51.82;51.9;49.43;49.43;18470840;2.47;2.281283;;;;;
20240902;000000;49.08;49.23;45.53;46.5;46436360;3.7;2.323281;;;;;
20240903;000000;46.38;48.86;46.07;47.49;53135100;2.79;2.865308;;;;;
20240904;000000;47.55;49.65;47.15;49.5;28467930;2.5;2.504457;;;;;
20240905;000000;49.74;50.25;48.58;48.72;30194400;1.67;2.669718;;;;;
20240906;000000;48.72;50.2;47.99;50.15;18939970;2.21;2.504931;;;;;
20240909;000000;50.19;51.28;49.63;50.52;40009780;1.65;2.494971;;;;;
20240910;000000;50.65;51.07;49.6;50.13;20806660;1.47;2.101527;;;;;
20240911;000000;50.16;50.31;48.3;48.51;21085460;2.01;1.847323;;;;;
20240912;000000;48.51;49.15;47.55;48.99;16808180;1.6;1.806565;;;;;
20240913;000000;49.09;49.85;47.2;49.64;26695100;2.65;1.77511;;;;;
20240916;000000;49.84;51.87;49.53;51.36;32406780;2.34;1.956543;;;;;
20240917;000000;51.55;53.34;51.05;53.33;34627210;2.29;2.072546;;;;;
20240918;000000;53.14;53.33;51.52;51.83;29447050;1.81;2.206917;;;;;
20240919;000000;51.86;53.5;51.5;52.19;32135360;2;2.103971;;;;;
20240920;000000;52.25;52.98;52.18;52.64;16066660;0.8;2.177032;;;;;
20240923;000000;52.77;54.23;52.73;53.89;38202780;1.5;1.73282;;;;;
20240924;000000;54;56.09;53.12;55.82;35678610;2.97;1.626264;;;;;
20240925;000000;55.82;55.99;54.3;54.64;31607360;1.69;1.921939;;;;;
20240926;000000;54.62;54.99;53.65;54.64;15722850;1.34;1.835969;;;;;
20240927;000000;54.74;55.46;54.18;55.27;12324870;1.28;1.637722;;;;;
20240930;000000;55.36;56.8;53.86;54.09;36091190;2.94;1.673352;;;;;
20241001;000000;54.15;54.65;53.5;54.44;20718590;1.15;2.111604;;;;;
20241002;000000;54.46;54.99;52.5;53.37;21292880;2.49;1.671917;;;;;
20241003;000000;53.37;54.47;52.52;54.29;18149390;1.95;1.899453;;;;;
20241004;000000;54.28;54.72;53.76;54.52;11804530;0.96;1.965177;;;;;
20241007;000000;54.58;54.99;53.52;54.06;12043440;1.47;1.808594;;;;;
20241008;000000;54.1;54.12;53.05;53.7;10011310;1.07;1.556949;;;;;
20241009;000000;53.72;54.41;53.37;54.13;12339470;1.04;1.517177;;;;;
20241010;000000;54.17;54.79;53.53;53.89;7408540;1.26;1.265316;;;;;
20241011;000000;53.89;53.97;52.63;53;13193590;1.34;1.162462;;;;;
20241014;000000;52.96;55.33;52.31;55.23;32680590;3.02;1.248864;;;;;
20241015;000000;54.85;55.66;54.79;55.06;18759790;0.87;1.70485;;;;;
20241016;000000;55.16;55.31;54.71;54.97;13989280;0.6;1.497061;;;;;
20241017;000000;54.95;55.24;53.8;54.15;20755940;1.44;1.318774;;;;;
20241018;000000;51.53;53.27;51.14;52.2;33398360;2.13;1.397446;;;;;
20241021;000000;52.2;52.84;51.8;52.3;13585210;1.04;1.662837;;;;;
20241022;000000;52.26;52.48;50.51;50.78;20671910;1.97;1.241222;;;;;
20241023;000000;50.68;51.56;50;50.25;18179950;1.56;1.485081;;;;;
20241024;000000;50.19;50.54;49.55;50.01;20619100;0.99;1.624312;;;;;
20241025;000000;50.08;51;48.51;48.92;19728850;2.49;1.486795;;;;;
20241028;000000;48.71;48.92;46.24;47.34;22301890;2.68;1.679047;;;;;
20241029;000000;47.32;48.35;46.45;47.81;27771030;1.9;2.039212;;;;;
20241030;000000;47.87;48.94;46.96;47.2;23267340;1.98;1.96593;;;;;
20241031;000000;47.18;47.9;46.3;47.24;17619180;1.6;2.000924;;;;;
20241101;000000;47.27;48.64;47.07;48.62;16977650;1.57;2.057736;;;;;
20241102;000000;48.62;48.88;47.66;48.41;14072830;1.22;1.891403;;;;;
