<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20240307;000000;297.72;300.58;297.24;300.4;21933870
20240311;000000;300.99;302.95;298.5;299.79;41634000
20240312;000000;299.54;301.07;297.34;300.9;28579520
20240313;000000;301.2;301.49;298.7;298.85;23980400
20240314;000000;298.47;298.7;295.14;295.83;42076250
20240315;000000;295.75;299.44;295.29;298.3;26002750
20240318;000000;299.41;299.98;297.63;298.87;20213950
20240319;000000;298.3;299.4;294.21;295.2;59646690
20240320;000000;295.4;296.88;293.52;295.4;30646650
20240321;000000;295.95;297.3;291.8;295.62;70581560
20240322;000000;295.77;296.79;291.05;292.99;48966360
20240325;000000;294;294.93;292.13;293.9;25449910
20240326;000000;294.44;295.82;293.04;294.11;16268420
20240327;000000;294.45;295.11;293.47;295.1;14531720
20240328;000000;295.51;299.3;295.51;299;33617440
20240329;000000;299.37;299.5;298;298.72;17644190
20240401;000000;299.99;301.65;299.5;300.43;28378290
20240402;000000;300.42;300.99;298.95;300.38;19900790
20240403;000000;300.39;307.13;300.17;306.72;58210390
20240404;000000;306.8;307.77;304.36;304.61;29046010
20240405;000000;304.65;306.5;303.7;306.1;19315070
20240408;000000;306.5;308.6;306.22;307.75;24816860
20240409;000000;308.1;309.35;305.51;306.76;31960600
20240410;000000;306.76;307.14;304.62;306.48;20618060
20240411;000000;306.64;308;305.7;306.95;20511760
20240412;000000;307.41;307.87;306.3;307.1;16001210
20240415;000000;307.4;308.39;306.64;307.99;20711610
20240416;000000;308;308.65;307;308.29;17030710
20240417;000000;308.64;309.74;305.91;306.59;28070320
20240418;000000;306.02;308.29;305.05;307.99;20296500
20240419;000000;308.02;308.38;306.8;307.38;14563250
20240422;000000;307.99;315;307.38;314.99;68916500
20240423;000000;315.3;315.79;306.26;307.39;92606890
20240424;000000;307.52;309.79;306.65;307.94;26515970
20240425;000000;307.96;309.07;307.45;308.41;15934990
20240426;000000;308.5;309.9;308;309;21126710
20240427;000000;309.2;309.99;308.7;308.98;13089900
20240429;000000;309.13;309.6;307.65;308.97;10004910
20240430;000000;309.19;309.49;308.03;308.24;5969290
20240502;000000;308.71;309.19;306.8;307.37;16246440
20240503;000000;307.16;308.29;304.34;307.53;30440790
20240506;000000;308.08;308.09;305.55;306.01;19100370
20240507;000000;306.25;308.87;306.21;308.22;16606530
20240508;000000;308.41;311.83;308.08;311.21;33875380
20240510;000000;311.49;313.5;311.31;313.49;16675700
20240513;000000;314.1;315.7;314.04;314.85;21503920
20240514;000000;314.98;318.41;313.58;318.12;35181520
20240515;000000;318.2;320.16;317.7;319.7;28195960
20240516;000000;320.01;322.91;320;322.91;27790120
20240517;000000;322.95;323.5;320.02;323.16;24321350
20240520;000000;324;324.85;318.94;321.08;36547050
20240521;000000;320.89;322.23;318;320.64;33999260
20240522;000000;320.84;323.1;320.84;322.93;18635350
20240523;000000;322.8;324;321.23;323.54;17835590
20240524;000000;323.83;324.48;319.78;321;26553810
20240527;000000;321.08;321.95;315.5;317.09;45678990
20240528;000000;317.49;320.9;315.82;318.22;30148450
20240529;000000;318.4;320.4;315.92;320.38;22961680
20240530;000000;320.91;321.55;316;316.63;26931430
20240531;000000;316.5;318.49;309.8;313.11;49135220
20240603;000000;313.5;315.5;305;310.95;61756350
20240604;000000;310.97;316.5;308.8;316.49;33007760
20240605;000000;316.63;318.28;313.85;314.72;27769570
20240606;000000;314.7;316.45;311.15;313.08;28304600
20240607;000000;313.61;320.64;312.73;319.9;44451740
20240610;000000;320.79;321.98;315.21;317.28;26271510
20240611;000000;317.5;319.84;315.88;317.8;20045280
20240613;000000;305.83;317.82;304.14;317.71;40596660
20240614;000000;317.8;320.7;316.2;319.35;21471310
20240617;000000;320;320.45;316.85;317.65;15421940
20240618;000000;317.65;318;313.02;314.34;21995830
20240619;000000;314.38;314.78;307.51;310.7;42166660
20240620;000000;310.71;314.72;306.02;314.15;72766890
20240621;000000;314.9;316;312.6;314.14;29078260
20240624;000000;314.57;319;314.14;317.25;29541850
20240625;000000;317.42;319.89;316.28;319.8;25961320
20240626;000000;320.1;324.56;319.8;324.55;42419730
20240627;000000;324.8;327.83;322.63;327.16;46744210
20240628;000000;327.83;329.3;325.8;327.15;40401840
20240701;000000;327.68;329;326.25;327.1;31651010
20240702;000000;327.3;328.87;326.82;328.37;21147250
20240703;000000;328.6;330.45;327;328.2;32149800
20240704;000000;328.37;329.57;323.81;324.66;40717120
20240705;000000;324.72;327;321.01;325;40395560
20240708;000000;325.76;327.44;323.74;324.07;27707420
20240709;000000;324.32;325.33;317.5;319.99;54117710
20240710;000000;319.01;320.3;314.3;316.68;88434130
20240711;000000;289.96;296.98;285.22;295.87;163673770
20240712;000000;296.01;297.48;290.97;292.21;49886960
20240715;000000;292.93;293.86;283.5;284.38;58676410
20240716;000000;284.49;285.69;276.7;285.25;82828490
20240717;000000;285.84;289.96;283.23;284.68;42767400
20240718;000000;284.69;289.99;282.73;289.83;34064140
20240719;000000;290.67;292.58;289.2;289.9;30979970
20240722;000000;291;294.95;291;294.71;33311040
20240723;000000;295.45;295.48;293.36;294.39;22093540
20240724;000000;294.38;296.67;293.2;295.69;24544600
20240725;000000;295.7;297.3;294.2;296.37;22844710
20240726;000000;296.4;300;292.67;293.3;84884940
20240729;000000;292.94;292.94;286;286.58;52219730
20240730;000000;286.5;291.99;284.32;290;42534130
20240731;000000;290.46;291.2;288.01;289.3;25920100
20240801;000000;289.75;290.69;287.04;287.21;18623090
20240802;000000;287.21;287.99;284.37;286.04;30076980
20240805;000000;282.79;283.46;275.17;275.49;81937270
20240806;000000;277.02;281.16;276.35;279.4;43202810
20240807;000000;280.01;283.27;277.21;282.2;48382920
20240808;000000;283.25;285.42;280;281.09;42244110
20240809;000000;280.98;282.67;279.62;281.44;22241490
20240812;000000;280.17;281.5;278.03;280.74;27637540
20240813;000000;281.05;284.33;280.42;283.92;24020180
20240814;000000;284.2;284.7;280.12;280.32;21714850
20240815;000000;280.62;280.85;276.73;278.01;28609160
20240816;000000;278.06;279;274.32;274.6;26162430
20240819;000000;275.08;275.56;265.02;268.17;68554390
20240820;000000;268.35;269.49;263.36;266.2;54188810
20240821;000000;266.16;267.8;263.86;266.93;37082330
20240822;000000;266.93;268.5;260.15;261.6;47832270
20240823;000000;261.7;262.8;255.56;259.5;76692590
20240826;000000;263.55;266.95;261.54;265.39;49740810
20240827;000000;265.82;266.07;259.82;260.5;32322390
20240828;000000;259.9;262.47;254.99;262.47;47819940
20240829;000000;262.59;264.19;258.36;260.31;34789950
20240830;000000;260.55;261.8;254;254.45;46093930
20240902;000000;254.03;254.2;242.65;244.31;97567000
20240903;000000;244.39;250;240.01;244.04;105623660
20240904;000000;244.51;253.5;242.8;253.01;70628230
20240905;000000;255;258.17;251.11;252.82;78275280
20240906;000000;253.04;255.35;250.31;254.77;41321430
20240909;000000;256;263.45;255.3;263.31;66034220
20240910;000000;264.6;264.61;258.7;261.29;57661380
20240911;000000;260.8;262;257.5;258.2;38187230
20240912;000000;257.79;258.68;252.85;254.93;46294910
20240913;000000;255.18;259.92;248.75;258.25;111072970
20240916;000000;259.65;264.37;257.8;263.79;52514890
20240917;000000;264.12;267;260.55;265.99;57482960
20240918;000000;265.73;267.99;263.15;263.4;43207650
20240919;000000;263.93;266.19;262.32;264.5;35624340
20240920;000000;264.55;269.21;264.5;269.08;38731230
20240923;000000;269.32;273.8;269.3;273.17;49321720
20240924;000000;273.83;273.94;270.5;272.92;36940480
20240925;000000;272.93;273.8;267.3;267.8;43747450
20240926;000000;267.6;269.76;265.41;267.88;31838840
20240927;000000;268.5;269.7;267.17;268.07;18850980
20240930;000000;269.25;272.33;268.14;268.49;42404640
20241001;000000;267.64;268.68;264;266.29;51992710
20241002;000000;266.28;268;258.52;259.31;46490120
20241003;000000;259.31;264.49;257.2;264.25;56487900
20241004;000000;264.95;265.44;262.11;264.09;25906840
20241007;000000;264.25;267;261.37;263.39;28903960
20241008;000000;263.19;263.8;261.89;262.4;16119810
20241009;000000;262.55;263.8;259.59;260.86;24955850
20241010;000000;260.89;261.64;258.91;259.98;17641350
20241011;000000;259.81;260.07;256.8;256.94;24807370
20241014;000000;256.47;263.91;254.1;261.28;64068170
20241015;000000;260.94;263.7;259.84;262.03;26188700
20241016;000000;262.06;264.72;258.45;259.5;40177540
20241017;000000;259.5;260.45;256.03;256.57;24610370
20241018;000000;256.5;258.9;254.41;257.19;29989090
20241021;000000;257.27;259.85;256.78;258.21;21431740
20241022;000000;258.1;258.8;255.25;255.42;17034860
20241023;000000;255.25;255.9;251.34;252.01;30386580
20241024;000000;252.02;254.27;250.25;252.64;28722160
20241025;000000;252.76;255.35;245.7;246.35;80582460
20241028;000000;245.07;249;241.61;242.56;71823960
20241029;000000;243.19;244.6;239.88;242.66;47036950
20241030;000000;242.86;246.22;241.11;241.45;39715140
20241031;000000;241.39;242.8;236.23;237.9;57012180
20241101;000000;237.91;239.1;234.57;238.03;48318530
20241102;000000;237.88;240;237.71;238.97;14853190
20241105;000000;239.61;241.2;238.07;239.23;28108960
20241106;000000;247;248.56;242.05;243.6;77709700
20241107;000000;243.26;251;242.16;250.93;44425190
20241108;000000;251.5;255.99;250.5;255.98;57955250
20241111;000000;257.98;261.3;256.49;260.73;67108770
20241112;000000;259.99;260.7;255.27;255.77;40858380
20241113;000000;255.3;258.96;254.05;254.7;44517870
20241114;000000;254.3;255.92;248.6;249.52;48972450
20241115;000000;249.4;254.43;248.05;253.43;44169640
20241118;000000;249.09;251.94;247.3;248.72;51127080
20241119;000000;249.05;249.83;239.62;240.59;75453920
20241120;000000;241.8;243.59;234.74;237.05;70236990
20241121;000000;237.16;240.94;234;240.47;75052950
20241122;000000;240.55;241;234.78;236;45501870
20241125;000000;236;237.1;227.25;227.81;76358230
20241126;000000;227.81;231.9;221.2;223.16;96738220
20241127;000000;223.88;226.47;219.2;226.3;112401690
20241128;000000;227.06;229.5;222.48;228.56;67717140
20241129;000000;228.48;236.99;227.55;236.49;70247610
20241202;000000;237.09;238.7;234.32;235.17;45050170
20241203;000000;235.29;235.97;230.26;230.8;45313800
20241204;000000;231.05;233.79;224.3;224.55;72374990
20241205;000000;224.6;233.75;222.82;233.48;86902200
20241206;000000;233.63;238.25;231.52;237.84;81003410
