<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240130;000000;2998;3138.8;2966;3078;6276392;0.026684456
20240131;000000;3099;3117.8;3019.4;3026;2383839;-0.023555986
20240201;000000;3025;3130;3002.2;3108;2738744;0.027438017
20240202;000000;3116.6;3169.6;3059.8;3163;3013086;0.014888019
20240205;000000;2903;3086.6;2870;3047;11129601;0.049603858
20240206;000000;3043.4;3137;3019.2;3108.6;3487262;0.021423408
20240207;000000;3118.2;3363.6;3110.4;3325;7854832;0.066320313
20240208;000000;3339;3432;3242.8;3306.2;9567315;-0.0098233
20240209;000000;3320;3340;3204;3290.4;2729079;-0.008915663
20240212;000000;3296.6;3317;3226;3304.6;1661144;0.002426743
20240213;000000;3320.6;3497.4;3292.4;3477;4101928;0.047099922
20240214;000000;3482.8;3543.8;3392.2;3439.4;3417121;-0.012461238
20240215;000000;3443;3497.4;3393.2;3444.2;2910587;0.000348533
20240216;000000;3448.4;3464;3362;3417;2461877;-0.009105672
20240219;000000;3424.8;3444;3282.6;3310.4;1944984;-0.03340341
20240220;000000;3311.4;3392.8;3273.8;3314.6;2702765;0.000966359
20240221;000000;3314.8;3342;3173.8;3246.2;3112682;-0.020695065
20240222;000000;3256;3285;3204;3241.8;1401732;-0.004361179
20240226;000000;3342;3411.2;3294;3404.8;1761401;0.018791143
20240227;000000;3411.8;3417;3340;3365.8;1085792;-0.013482619
20240228;000000;3365.8;3396;3337;3375.8;959563;0.002971062
20240229;000000;3382;3400;3350;3383;629382;0.000295683
20240301;000000;3385.6;3542;3380.2;3539.4;2838863;0.045427694
20240304;000000;3580.2;3718;3565.2;3700.6;4295866;0.033629406
20240305;000000;3710;3710;3600.2;3627;2487397;-0.022371968
20240306;000000;3625.2;3625.2;3562.8;3577.8;1377867;-0.013075141
20240307;000000;3566.8;3670;3546;3623.8;1306761;0.015980711
20240311;000000;3633;3650;3507.4;3544.4;2827001;-0.024387558
20240312;000000;3549.2;3549.2;3487.6;3499.6;945758;-0.01397498
20240313;000000;3499.8;3610;3488;3588.6;1749114;0.025372878
20240314;000000;3589;3631.8;3550;3598.8;1551185;0.002730566
20240315;000000;3602.2;3667.8;3571.4;3635.6;1780247;0.009272111
20240318;000000;3620;3708.8;3595;3686.2;1630156;0.018287293
20240319;000000;3687;3859.4;3683.2;3797;4106947;0.029834554
20240320;000000;3815;3972.6;3810;3948;3667238;0.034862385
20240321;000000;3953;4004.8;3842.4;3882;3385416;-0.017961042
20240322;000000;3884.8;3944.6;3800;3834;2438389;-0.013076606
20240325;000000;3848.6;4025;3845.2;4024.6;1933023;0.045730915
20240326;000000;4036.2;4080;3985;4018.8;1517670;-0.004310986
20240327;000000;4024;4033.4;3986.6;4007.2;727700;-0.00417495
20240328;000000;4014.8;4050;3983.4;4003.8;644990;-0.002739863
20240329;000000;4015;4015;3973.2;3994;647215;-0.005230386
20240401;000000;4020;4055;3940.2;3975;1212148;-0.01119403
20240402;000000;3980;3992.4;3735.8;3868;4565829;-0.028140704
20240403;000000;3880;3936.4;3820.8;3920.2;964379;0.010360825
20240404;000000;3930.8;3985;3918;3960;717536;0.007428513
20240405;000000;3963.2;4007;3949.6;3995;548627;0.008023819
20240408;000000;4010.6;4010.8;3878.4;3959;1449407;-0.012865905
20240409;000000;3957;3965.8;3926.4;3954.6;576477;-0.00060652
20240410;000000;3950;4007.8;3935;3980;536130;0.007594937
20240411;000000;3989;3995;3935;3946;378927;-0.010779644
20240412;000000;3944.4;3999.8;3944;3990;411133;0.011560694
20240415;000000;3987.8;4076.2;3942;4046;1088093;0.014594513
20240416;000000;4050;4077;4014.6;4049.6;384269;-9.87654E-05
20240417;000000;4052;4200;4052;4199.8;1598948;0.036475814
20240418;000000;4200;4222;4143.2;4193;716187;-0.001666667
20240419;000000;4195;4269;4156.8;4257.2;785405;0.014827175
20240422;000000;4264.6;4348.6;4069.2;4290.2;2290103;0.006002908
20240423;000000;4290.2;4299;4152.6;4172.2;814720;-0.027504545
20240424;000000;4164.2;4184.6;4087.4;4111.8;903071;-0.012583449
20240425;000000;4107.2;4184.6;4020.2;4164.6;1436605;0.013975458
20240426;000000;4164.8;4251;4101.2;4231.6;1018736;0.016039186
20240427;000000;4231.6;4260.4;4120.4;4160.2;844865;-0.01687305
20240429;000000;4160.2;4180;4113.6;4173.4;304942;0.003172924
20240430;000000;4174;4174.4;4130.6;4149.6;103507;-0.005845712
20240502;000000;4149.8;4195;4114.8;4177;383942;0.006554533
20240503;000000;4182;4246.4;4125.6;4236.4;401425;0.01300813
20240506;000000;4250.6;4313.4;4237;4274;534477;0.005505105
20240507;000000;4274;4371;4242.8;4356;647231;0.019185774
20240508;000000;4359.8;4390;4274;4310;631037;-0.011422542
20240510;000000;4319.2;4360;4301.2;4356.2;180545;0.008566401
20240513;000000;4363.4;4592.2;4125;4407;4613982;0.009992208
20240514;000000;4407;4517.4;4401.4;4489.8;1533685;0.018788291
20240515;000000;4491;4508;4334;4355.2;1238454;-0.030238254
20240516;000000;4344.8;4410.6;4237.8;4361.2;1170370;0.003774627
20240517;000000;4350.2;4373.2;4257;4271;841847;-0.018206059
20240520;000000;4259.6;4300;4150.6;4196;1219286;-0.014930979
20240521;000000;4182;4275;4100.2;4106.4;1013417;-0.018077475
20240522;000000;4088;4297.4;4060;4234;850010;0.035714286
20240523;000000;4232.8;4285;4180;4206.4;462392;-0.006237006
20240524;000000;4205.8;4275.6;4146;4189.2;554083;-0.00394693
20240527;000000;4180;4399;4070;4084;758272;-0.022966507
20240528;000000;4082.2;4186;4012.6;4038.4;405306;-0.010729509
20240529;000000;4040;4098;4002.2;4051;236898;0.002722772
20240530;000000;4050.2;4159;4021.2;4032.8;344523;-0.004296084
20240531;000000;4033.2;4080;3939;3996.8;471361;-0.009025092
20240603;000000;4035.8;4070;3890;4044.4;392633;0.002130928
20240604;000000;4045.2;4215.6;4006.2;4177.8;357282;0.032779591
20240605;000000;4181;4250;4130;4159.2;435693;-0.005214064
20240606;000000;4180;4238;4151.4;4204.2;261180;0.005789474
20240607;000000;4222.8;4284.2;4210.6;4222;328747;-0.000189448
20240610;000000;4223;4248;4082.8;4125.6;296780;-0.023064172
20240611;000000;4100.8;4140.6;4092;4102;233459;0.000292626
20240613;000000;3980;4160;3901;4048;359413;0.017085427
20240614;000000;4047.6;4128.8;4030;4071.2;330398;0.005830616
20240724;000000;4541;4542;4100;4148.5;5272881;-0.086434706
20240725;000000;4154.5;4186;4070;4137.5;1904654;-0.004091948
20240726;000000;4138;4176.5;3931;3962.5;4186115;-0.042411793
20240729;000000;3934.5;3935;3783;3867;4726169;-0.017155928
20240730;000000;3917;3949;3809;3910;4051285;-0.001787082
20240731;000000;3916;3954.5;3865.5;3892;2005848;-0.006128703
20240801;000000;3894.5;3921;3861;3871.5;1225587;-0.005905765
20240802;000000;3872;3874;3726;3728.5;2610905;-0.03706095
20240805;000000;3607;3657;3551;3585;3816494;-0.006099251
20240806;000000;3643;3700;3564;3644;2337871;0.000274499
20240807;000000;3662;3876;3605;3854;4358036;0.052430366
20240808;000000;3860;3929.5;3790.5;3828;3518885;-0.008290155
20240809;000000;3826;3870.5;3792.5;3854.5;1123372;0.007449033
20240812;000000;3834.5;3923;3805.5;3923;1656972;0.023079932
20240813;000000;3937.5;3964;3903.5;3911;1116684;-0.006730159
20240814;000000;3915;3929;3825;3831.5;996328;-0.021328225
20240815;000000;3832;3860;3783;3828;1129448;-0.001043841
20240816;000000;3828.5;3856;3756;3776.5;1083033;-0.013582343
20240819;000000;3798.5;3825;3680.5;3725.5;1902791;-0.019218112
20240820;000000;3739;3787.5;3683.5;3753;1233449;0.003744317
20240821;000000;3756;3853;3712.5;3836.5;1343753;0.021432375
20240822;000000;3837;3884;3760.5;3794;1504697;-0.011206672
20240823;000000;3795;3836.5;3730;3807;1389063;0.003162055
20240826;000000;3879.5;3945;3851;3913.5;1748956;0.008764016
20240827;000000;3911;3942.5;3828.5;3844;908561;-0.017131168
20240828;000000;3844;3920;3819;3892.5;1267517;0.012617066
20240829;000000;3900.5;3944.5;3840;3926;1113179;0.006537623
20240830;000000;3954.5;3972.5;3731;3765.5;1663805;-0.047793653
20240902;000000;3730.5;3762;3583.5;3620.5;2472551;-0.029486664
20240903;000000;3634.5;3707;3568;3652;1934686;0.004814968
20240904;000000;3655;3744;3628;3737;1025206;0.022435021
20240905;000000;3760;3769.5;3669;3679.5;957678;-0.021409574
20240906;000000;3682;3745.5;3641;3715;677481;0.00896252
20240909;000000;3740;3888;3738.5;3883.5;1422217;0.038368984
20240910;000000;3904;3905.5;3771;3825;1110652;-0.020235656
20240911;000000;3821.5;3878;3777;3782;1316464;-0.010336255
20240912;000000;3793;3829.5;3736;3828.5;1163585;0.009359346
20240913;000000;3820;3920;3762.5;3914.5;1696940;0.02473822
20240916;000000;3933.5;4135;3921;4119;2996246;0.047159019
20240917;000000;4127;4175.5;4052.5;4106;1986294;-0.005088442
20240918;000000;4114.5;4130;4020;4031;1029059;-0.020294082
20240919;000000;4047.5;4150;4026;4137.5;1409040;0.022235948
20240920;000000;4075;4135;4065;4100;1198015;0.006134969
20240923;000000;4100.5;4249;4070;4202.5;1877378;0.024875015
20240924;000000;4209;4240;4128;4160;910326;-0.01164172
20240925;000000;4169.5;4169.5;4002;4035.5;1367230;-0.032138146
20240926;000000;4016;4059;3963.5;4001.5;1115625;-0.003610558
20240927;000000;4010;4068;4002.5;4024;603086;0.003491272
20240930;000000;4045.5;4089;3985.5;4007.5;711892;-0.009393153
20241001;000000;4004.5;4023.5;3931;3963;747074;-0.010363341
20241002;000000;3967.5;4009;3901;3907.5;692479;-0.015122873
20241003;000000;3913;3974;3862.5;3969;925652;0.01431127
20241004;000000;3975;4003;3931;3945.5;593636;-0.007421384
20241007;000000;3950;3961;3910;3928.5;385886;-0.005443038
20241008;000000;3927.5;4000;3900.5;3982.5;729323;0.014003819
20241009;000000;3982;3987;3906.5;3933.5;436594;-0.012179809
20241010;000000;3938;3994;3933;3979.5;389149;0.010538344
20241011;000000;3980;4006;3944;3975;578227;-0.001256281
20241014;000000;3985;4082.5;3964;4074;1111982;0.022333752
20241015;000000;4069.5;4128;4059;4091;659095;0.005283204
20241016;000000;4099;4121.5;4023;4057;658823;-0.010246402
20241017;000000;4055.5;4065.5;3975.5;3983.5;456723;-0.017753668
20241018;000000;3982;4007;3941;3968.5;497518;-0.003390256
20241021;000000;3970.5;4054.5;3969.5;4031;524304;0.015237376
20241022;000000;4038;4039;3954;3964.5;433971;-0.01820208
20241023;000000;3956;3985.5;3876.5;3883.5;512476;-0.018326593
20241024;000000;3883.5;3975;3879;3969.5;602636;0.022144972
20241025;000000;3973;4037;3810.5;3834.5;1413782;-0.034860307
20241028;000000;3797.5;3874.5;3655;3743;1579127;-0.014351547
20241029;000000;3767.5;3792;3670;3758;1093095;-0.002521566
20241030;000000;3769;3817.5;3685.5;3710;730074;-0.01565402
20241031;000000;3685;3734.5;3621;3666.5;761805;-0.005020353
20241101;000000;3675;3700;3622;3674;797470;-0.000272109
20241102;000000;3680;3694;3652.5;3683.5;245836;0.000951087
20241105;000000;3691;3703.5;3602.5;3646;657535;-0.012191818
20241106;000000;3723;3787.5;3654.5;3677;1491341;-0.012355627
20241107;000000;3677;3817;3619;3811.5;1055346;0.036578733
20241108;000000;3821.5;3895;3780.5;3888;955030;0.017401544
20241111;000000;3913.5;3944;3868.5;3885;911186;-0.007282484
20241112;000000;3883.5;3889;3747;3758.5;1169514;-0.03218746
20241113;000000;3747.5;3800;3682.5;3693;1401537;-0.014543029
20241114;000000;3690;3730;3650;3678;828437;-0.003252033
20241115;000000;3678;3721;3666.5;3712;745660;0.009244154
20241118;000000;3652;3708.5;3607.5;3649;974458;-0.000821468
20241119;000000;3656;3678;3540.5;3573.5;1387167;-0.022565646
